# criteria_commit: 7f588d8
# digitization_commit: 325aecf
configuration,s_over_l,source_figure,points,median_absolute_error,p90_absolute_error,rms_error,maximum_absolute_error,median_signed_error,pointwise_grade,source_hump_fn,predicted_hump_fn,hump_fn_error,hump_position_grade,source_hump_tau,predicted_hump_tau,hump_amplitude_ratio,hump_amplitude_grade,verdict
s_l_0_2,0.2,359,61,0.08200249683999994,0.29933599844500014,0.1548676024120923,0.32070982604279996,-0.03528416621550001,disagreement,0.45,0.445,0.0050000000000000044,agreement,1.9800774,1.671558046548,0.8441882355447317,partial,disagreement
s_l_0_3,0.3,360,61,0.04126918683500014,0.14501247438190001,0.11682701032461373,0.5407276412204,-0.012695436856666742,partial,0.41,0.405,0.004999999999999949,agreement,1.7163181,1.573589460485,0.9168402177224606,agreement,partial
s_l_0_4,0.4,361,61,0.03686368088666647,0.127049983062,0.0723995469551316,0.17483399642459996,-0.005557232105600107,partial,0.395,0.385,0.010000000000000009,agreement,1.5387063,1.435416106262,0.932872053790902,agreement,partial
s_l_0_5,0.5,362,61,0.020295438134000143,0.07140087595600009,0.053978533917628406,0.21178223568499988,-0.014497619190700028,agreement,0.385,0.375,0.010000000000000009,agreement,1.3464128,1.298534382806,0.9644400163204034,agreement,agreement
