# criteria_commit: 3f81c2a
configuration,s_over_l,points,median_absolute_error,p80_absolute_error,level_grade,nonneutral_points,sign_agreement_fraction,sign_grade,hump_experimental_fn,hump_predicted_fn,hump_fn_error,hump_position_grade,hump_experimental_ratio,hump_predicted_ratio,hump_amplitude_error,hump_amplitude_grade,hollow_experimental_fn,hollow_predicted_fn,hollow_fn_error,hollow_position_grade,hollow_experimental_ratio,hollow_predicted_ratio,hollow_amplitude_error,hollow_amplitude_grade,verdict
s_l_0_2,0.2,12,0.3199721117381684,0.4064830758673684,partial,9,0.7777777777777778,partial,0.5190000000000002,0.4450000000000002,0.07400000000000007,disagreement,1.3504382007381552,1.671558046548,0.32111984580984476,partial,0.3850000000000001,0.3500000000000001,0.03500000000000003,partial,0.6950791866953601,0.7164666037676007,0.021387417072240678,agreement,disagreement
s_l_0_3,0.3,12,0.24102148500675302,0.4313371477969503,agreement,10,0.9,agreement,0.43600000000000017,0.40500000000000014,0.031000000000000028,partial,1.2426275544675227,1.573589460485,0.3309619060174773,partial,0.3550000000000001,0.3350000000000001,0.020000000000000018,agreement,0.6990376026192603,0.5323786658558003,0.16665893676346,agreement,partial
s_l_0_4,0.4,12,0.06640561382557453,0.25766304945444785,agreement,11,0.8181818181818182,agreement,0.41100000000000014,0.3850000000000001,0.026000000000000023,partial,1.4593078640285198,1.435416106262,0.02389175776651986,agreement,0.3430000000000001,0.32500000000000007,0.018000000000000016,agreement,0.715106338982478,0.7719255522370002,0.056819213254522216,agreement,partial
s_l_0_5,0.5,12,0.03454301914276947,0.14722626308651207,agreement,6,1.0,agreement,0.39400000000000013,0.3800000000000001,0.014000000000000012,agreement,1.2435773342684195,1.2972699244929997,0.05369259022458017,agreement,0.3320000000000001,0.31500000000000006,0.017000000000000015,agreement,0.8184351495091648,0.9053664542045,0.08693130469533517,agreement,agreement
