# criteria_commit: 3f81c2a
configuration,s_over_l,fn,monohull_d,catamaran_d,experimental_tau_wp,predicted_interference,interference_absolute_error,experimental_neutral,sign_match,passed
s_l_0_2,0.2,0.25,1.2455462022166495,nan,nan,0.9093977151307,nan,False,False,False
s_l_0_2,0.2,0.275,0.8755210680999652,0.6944304376063128,1.355981299124352,1.225054746193,0.13092655293135214,False,True,False
s_l_0_2,0.2,0.30000000000000004,1.183746940416864,1.763772330349067,1.0986714316432438,1.3904897342819997,0.29181830263875597,True,True,False
s_l_0_2,0.2,0.32500000000000007,0.30915022048804913,0.27020256675372445,1.091651946572051,1.0591749387019989,0.03247700787005203,True,True,True
s_l_0_2,0.2,0.3500000000000001,0.009144425974079143,0.26186495202678967,0.9617683510571384,0.7164666037676007,0.24530174728953769,True,True,True
s_l_0_2,0.2,0.3750000000000001,0.2917727060001753,1.0124495031124472,0.7303657174555577,1.1378349444570022,0.4074692270014445,False,False,False
s_l_0_2,0.2,0.40000000000000013,0.6321329121236812,1.989105272844304,0.8171616081494251,1.4965583094010009,0.6793967012515758,False,False,False
s_l_0_2,0.2,0.42500000000000016,0.6593991251713245,1.4718204145722844,1.1022568675656816,1.6419081979870005,0.5396513304213189,False,True,False
s_l_0_2,0.2,0.4500000000000002,0.5145324685033421,0.9950124157154078,1.2688512563129357,1.671389727644,0.40253847133106424,False,True,False
s_l_0_2,0.2,0.4750000000000002,0.34682517416018416,0.74509581862089,1.2663687969749953,1.6408476280609996,0.3744788310860043,False,True,False
s_l_0_2,0.2,0.5000000000000002,0.2410778337924157,0.5920115357324143,1.2311481095474184,1.5792740303849993,0.34812592083758087,False,True,False
s_l_0_2,0.2,0.5250000000000002,0.38197975682184576,0.4956309910513963,1.3890966251190984,1.5033331362759994,0.11423651115690103,False,True,False
s_l_0_2,0.2,0.5500000000000003,0.43014553028192437,0.4281122872878428,1.4252542136222441,1.4232279246309993,0.0020262889912447957,False,True,False
s_l_0_3,0.3,0.25,1.2455462022166495,0.14401061531616302,nan,0.5682534256181,nan,False,False,False
s_l_0_3,0.3,0.275,0.8755210680999652,1.313014401385509,1.1729219512941906,1.446523534813,0.27360158351880925,False,True,False
s_l_0_3,0.3,0.30000000000000004,1.183746940416864,1.0787019881995819,1.2275993153024438,1.1685480081059987,0.059051307196445135,False,True,False
s_l_0_3,0.3,0.32500000000000007,0.30915022048804913,0.24813465954417388,1.0821634660601147,0.6215033157421991,0.46066015031791563,True,True,False
s_l_0_3,0.3,0.3500000000000001,0.009144425974079143,0.07457850352795373,0.710049612508563,0.7700456757181032,0.05999606320954021,False,True,True
s_l_0_3,0.3,0.3750000000000001,0.2917727060001753,1.3023052586683528,0.7869513251787688,1.4025704103040015,0.6156190851252328,False,False,False
s_l_0_3,0.3,0.40000000000000013,0.6321329121236812,1.6096877291653555,0.9829066343093527,1.571611823657,0.5887051893476474,True,True,False
s_l_0_3,0.3,0.42500000000000016,0.6593991251713245,1.0843591274070503,1.226294766669911,1.5403399043829995,0.3140451377130884,False,True,False
s_l_0_3,0.3,0.4500000000000002,0.5145324685033421,0.8471339728139915,1.1990997700747446,1.4624301348169992,0.2633303647422547,False,True,False
s_l_0_3,0.3,0.4750000000000002,0.34682517416018416,0.6006677842372629,1.160434186348748,1.3791467916199993,0.21871260527125136,False,True,False
s_l_0_3,0.3,0.5000000000000002,0.2410778337924157,0.44220910668514474,1.1202596231980249,1.3018108827959993,0.18155125959797447,False,True,False
s_l_0_3,0.3,0.5250000000000002,0.38197975682184576,0.367948673496063,1.2462274916884284,1.2335746856739995,0.012652806014428863,False,True,False
s_l_0_3,0.3,0.5500000000000003,0.43014553028192437,0.2768939505859454,1.3160297998070942,1.1750066371449996,0.14102316266209458,False,True,False
s_l_0_4,0.4,0.25,1.2455462022166495,1.0577676133146108,nan,0.8761632636265,nan,False,False,False
s_l_0_4,0.4,0.275,0.8755210680999652,1.9310503842943976,0.8243599648111127,1.288303625458,0.4639436606468873,False,False,False
s_l_0_4,0.4,0.30000000000000004,1.183746940416864,0.917001053979067,1.0675973221469512,0.9371897237275995,0.1304075984193518,True,True,False
s_l_0_4,0.4,0.32500000000000007,0.30915022048804913,0.24322033132617615,0.8128619533060016,0.7719255522370002,0.04093640106900143,False,True,True
s_l_0_4,0.4,0.3500000000000001,0.009144425974079143,0.487644420629321,0.7355479717750265,1.1043323214810021,0.3687843497059756,False,False,False
s_l_0_4,0.4,0.3750000000000001,0.2917727060001753,0.6230434902637634,1.1287997371897784,1.4182766494030001,0.2894769122132217,False,True,False
s_l_0_4,0.4,0.40000000000000013,0.6321329121236812,0.6084726108834008,1.4337344815265638,1.4129502736479997,0.020784207878564054,False,True,False
s_l_0_4,0.4,0.42500000000000016,0.6593991251713245,0.5674384884041712,1.4191192045417023,1.3404744085319995,0.07864479600970276,False,True,False
s_l_0_4,0.4,0.4500000000000002,0.5145324685033421,0.47494055153177833,1.3036925481112354,1.2696122704049995,0.034080277706235895,False,True,False
s_l_0_4,0.4,0.4750000000000002,0.34682517416018416,0.3715961971889167,1.187620618249763,1.2094635257399995,0.02184290749023643,False,True,False
s_l_0_4,0.4,0.5000000000000002,0.2410778337924157,0.2784486677385547,1.1256809877771696,1.1595770385529995,0.03389605077582991,False,True,True
s_l_0_4,0.4,0.5250000000000002,0.38197975682184576,0.29972651777343984,1.189195659081939,1.1184166231809998,0.07077903590093926,False,True,False
s_l_0_4,0.4,0.5500000000000003,0.43014553028192437,0.35277622939840036,1.1466442213132095,1.0846120295629997,0.0620321917502098,False,True,False
s_l_0_5,0.5,0.25,1.2455462022166495,1.5212043095612766,nan,1.021266190945,nan,False,False,False
s_l_0_5,0.5,0.275,0.8755210680999652,1.2697604819490889,0.9000086882217607,1.089192858818,0.18918417059623927,True,True,False
s_l_0_5,0.5,0.30000000000000004,1.183746940416864,1.1113714824705654,0.9683368718150998,0.9362434899095998,0.03209338190549993,True,True,False
s_l_0_5,0.5,0.32500000000000007,0.30915022048804913,0.4635835610944015,0.826845556515826,0.9243840356451003,0.09753847912927427,False,True,False
s_l_0_5,0.5,0.3500000000000001,0.009144425974079143,0.2730768433944551,0.9060507666559909,1.164117435685001,0.2580666690290101,True,True,True
s_l_0_5,0.5,0.3750000000000001,0.2917727060001753,0.4685897658466347,1.1421918581491226,1.298534382806,0.15634252465687748,False,True,False
