# criteria_commit: 3f81c2a
configuration,points,median_d,p80_d,pointwise_grade,experimental_hump_fn,predicted_hump_fn,hump_fn_error,hump_position_grade,experimental_hump_cwp,predicted_hump_cw,hump_relative_amplitude_error,hump_amplitude_grade,verdict
monohull,19,0.3149228362680455,0.6430393973427385,partial,0.4970000000000001,0.4990000000000001,0.0020000000000000018,agreement,0.0036454219137105133,0.0045180782754607905,0.23938418718233878,agreement,partial
s_l_0_2,14,0.6432209866693636,1.1961978676963823,disagreement,0.5130000000000001,0.4800000000000001,0.03300000000000003,partial,0.004532186209568905,0.007292630860031,0.6090757358190417,disagreement,disagreement
s_l_0_3,17,0.367948673496063,1.0832276995655565,disagreement,0.4980000000000001,0.4650000000000001,0.03300000000000003,partial,0.004080184693647161,0.006154119160702,0.5082942618465165,disagreement,disagreement
s_l_0_4,23,0.3145649865181212,0.592058961891709,partial,0.4940000000000001,0.4700000000000001,0.02400000000000002,partial,0.004127288184170726,0.005377400208606,0.3028894442674959,partial,partial
s_l_0_5,20,0.37499762098369793,0.6666775990892011,partial,0.4960000000000001,0.4800000000000001,0.016000000000000014,agreement,0.003873950646160949,0.005000178919434,0.2907182811916134,partial,partial
