# criteria_commit: 79e267d
# implementation_commit: b0e70c4
# digitization_commit: 325aecf
configuration,s_over_l,source_figure,points,median_absolute_error,p90_absolute_error,rms_error,maximum_absolute_error,median_signed_error,source_hump_fn,source_hump_tau,unbounded_tau_at_source_hump,canal_tau_at_source_hump,gap_closure_fraction,canal_hump_relative_error,unbounded_own_hump_fn,unbounded_own_hump_tau,canal_own_hump_fn,canal_own_hump_tau,study_outcome
s_l_0_2,0.2,359,111,0.08354085597700012,0.2987553027329999,0.16368332665580224,0.4170379701860001,-0.038706860170000024,0.45,1.9800774,1.671389727644,1.672492846493,0.0035735759726998667,0.15533966172584973,0.445,1.671558046548,0.445,1.672620457428,UNEXPLAINED
s_l_0_3,0.3,360,143,0.05097725795300012,0.14003617096220003,0.10116767283012726,0.46965720662199995,0.01978437128370003,0.41,1.7163181,1.570260781764,1.571674862222,0.009681681651276034,0.08427530874259266,0.405,1.573589460485,0.405,1.574956556521,UNEXPLAINED
s_l_0_4,0.4,361,143,0.042549215067000046,0.11982663407639998,0.07289294174773626,0.21042030121420008,0.00882005610899994,0.395,1.5387063,1.424097069025,1.426261896002,0.01888876627635729,0.0730772363757789,0.385,1.435416106262,0.385,1.43743773201,UNEXPLAINED
s_l_0_5,0.5,362,141,0.01709740199080001,0.07141236734360001,0.05237534000386905,0.2135784931089999,0.0008221843080999935,0.385,1.3464128,1.29161911536,1.294850039213,0.058965259851157026,0.038296398242054705,0.375,1.298534382806,0.375,1.301533463869,UNEXPLAINED
