configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	trim_deg	uncertainty_Fn	uncertainty_trim_deg	quality
C2-free-SL0.3	170	272	262	trim_deg	716.596	2894.119	0.186501	-0.0266184	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	774.725	2894.250	0.214344	-0.0275406	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	832.640	2892.423	0.242084	-0.0146965	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	890.761	2886.505	0.269923	0.0269157	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	948.589	2875.918	0.297621	0.1013608	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1007.476	2894.632	0.325827	-0.0302251	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1064.817	2886.648	0.353292	0.0259140	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1288.402	2526.839	0.460384	2.5558169	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1344.710	2502.867	0.487355	2.7243743	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1357.094	2503.548	0.493286	2.7195814	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1404.710	2503.045	0.516093	2.7231211	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1560.183	2492.738	0.590561	2.7955894	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1641.614	2511.654	0.629565	2.6625901	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1717.624	2522.876	0.665972	2.5836812	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1794.675	2507.890	0.702878	2.6890563	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1794.874	2552.177	0.702973	2.3776631	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1873.911	2503.877	0.740830	2.7172722	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1988.373	2470.585	0.795655	2.9513577	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	2108.430	2444.207	0.853159	3.1368275	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	2223.460	2442.926	0.908257	3.1458360	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	629.699	2763.166	0.158676	0.2080736	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	687.683	2763.110	0.186405	0.2084712	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	746.172	2774.233	0.214376	0.1300190	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	805.405	2772.053	0.242702	0.1453921	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	863.133	2768.196	0.270308	0.1725981	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	921.739	2764.682	0.298334	0.1973868	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	979.339	2787.448	0.325879	0.0368101	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1036.603	2759.343	0.353264	0.2350413	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1150.947	2581.758	0.407945	1.4876021	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1211.317	2531.303	0.436815	1.8434722	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1245.925	2528.757	0.453365	1.8614337	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1267.822	2469.405	0.463836	2.2800606	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1312.914	2491.394	0.485400	2.1249674	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1323.268	2440.000	0.490351	2.4874608	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1380.793	2450.491	0.517860	2.4134677	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1382.350	2479.519	0.518605	2.2087233	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1382.495	2425.525	0.518675	2.5895560	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1458.749	2415.694	0.555140	2.6589003	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1522.704	2440.301	0.585724	2.4853362	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1535.471	2410.603	0.591830	2.6948081	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1614.585	2417.913	0.629664	2.6432435	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1614.701	2441.162	0.629719	2.4792663	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1704.517	2411.618	0.672670	2.6876499	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1772.097	2398.628	0.704988	2.7792729	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1803.034	2405.350	0.719783	2.7318582	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1849.281	2386.665	0.741898	2.8636505	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1896.632	2397.169	0.764543	2.7895574	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1988.013	2383.376	0.808242	2.8868463	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	2069.556	2367.660	0.847237	2.9976959	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	2178.019	2367.369	0.899106	2.9997465	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	2196.293	2344.742	0.907844	3.1593414	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	2272.122	2365.505	0.944107	3.0128949	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	636.587	2862.469	0.160568	0.0722635	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	692.074	2862.554	0.187117	0.0716679	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	750.052	2863.123	0.214858	0.0676290	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	809.811	2858.586	0.243450	0.0997860	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	866.659	2862.200	0.270650	0.0741747	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	925.519	2863.493	0.298813	0.0650135	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	982.112	2863.389	0.325891	0.0657485	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1153.870	2713.558	0.408072	1.1275432	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1156.198	2686.659	0.409186	1.3181625	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1214.055	2659.346	0.436869	1.5117179	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1214.163	2626.067	0.436920	1.7475589	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1271.001	2602.127	0.464116	1.9172096	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1271.859	2577.009	0.464526	2.0952084	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1328.549	2551.635	0.491650	2.2750268	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1329.280	2579.719	0.492000	2.0760085	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1357.495	2597.823	0.505500	1.9477144	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1357.496	2522.653	0.505500	2.4804149	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1463.706	2582.878	0.556319	2.0536184	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1615.457	2509.056	0.628927	2.5767700	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1618.413	2526.706	0.630341	2.4516866	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1618.640	2563.876	0.630450	2.1882815	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1695.464	2552.219	0.667208	2.2708870	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1696.539	2514.719	0.667722	2.5366336	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1771.322	2508.843	0.703503	2.5782760	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1771.516	2537.094	0.703596	2.3780773	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1848.192	2496.252	0.740283	2.6675089	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1848.515	2466.820	0.740438	2.8760807	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1965.804	2444.544	0.796557	3.0339398	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	1966.475	2488.506	0.796878	2.7223993	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	2082.034	2437.846	0.852169	3.0814063	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	2083.232	2490.202	0.852742	2.7103770	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	2200.264	2420.771	0.908739	3.2024108	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	trim_deg	2201.143	2467.848	0.909159	2.8687903	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
