figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_pass_a,relative_position_pass_b,fn_anchor,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px,reason,resolution
350,353,363,0.5,C3,"round-bilge hull, L/B 7",long dashed,right-shifted low NPL crest,right-shifted lower crest,0.545,0.5450002,1.1443341,0.5450001,1.0601728,0.0000001,0.0841613,1965.606,3637.092,1965.628,3693.412,pass_difference_exceeds_preregistered_admission_limit,omitted; no theory or solver curve consulted
350,353,363,0.5,C4,"round-bilge hull, L/B 9",dash-dot,middle NPL shoulder,middle NPL shoulder,0.505,0.5050000,1.2487128,0.5050000,1.1639303,0.0000000,0.0847826,1854.450,3566.866,1854.650,3623.770,pass_difference_exceeds_preregistered_admission_limit,omitted; no theory or solver curve consulted
350,353,363,0.5,C5,"round-bilge hull, L/B 11",dotted,smooth NPL crest below C2,smooth lower crest,0.420,0.4199998,1.2185716,0.4199999,1.1315852,0.0000001,0.0869864,1618.244,3587.145,1618.822,3645.480,pass_difference_exceeds_preregistered_admission_limit,omitted; no theory or solver curve consulted
350,353,363,0.5,C5,"round-bilge hull, L/B 11",dotted,smooth NPL crest below C2,smooth lower crest,0.525,0.5250001,1.2378582,0.5250000,1.1510355,0.0000000,0.0868227,1910.028,3574.169,1910.139,3632.425,pass_difference_exceeds_preregistered_admission_limit,omitted; no theory or solver curve consulted
