# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258 and 259; PDF pages 268 and 269; Figures 161, 162, and 163
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
monohull,free,cwp,10,930.00,1384.00,0.295590,0.0011937,dimensionless,0.003,0.00005,163
monohull,free,cwp,11,941.00,1365.00,0.300850,0.0013439,dimensionless,0.003,0.00005,163
monohull,free,cwp,12,963.00,1354.00,0.311371,0.0014308,dimensionless,0.003,0.00005,163
monohull,free,cwp,13,989.00,1335.00,0.323804,0.0015810,dimensionless,0.003,0.00005,163
monohull,free,cwp,14,992.00,1373.00,0.325239,0.0012806,dimensionless,0.003,0.00005,163
monohull,free,cwp,15,1015.00,1352.00,0.336238,0.0014466,dimensionless,0.003,0.00005,163
monohull,free,cwp,16,1046.00,1344.00,0.351063,0.0015099,dimensionless,0.003,0.00005,163
monohull,free,cwp,17,1068.00,1328.00,0.361583,0.0016364,dimensionless,0.003,0.00005,163
monohull,free,cwp,18,1103.00,1309.00,0.378321,0.0017866,dimensionless,0.003,0.00005,163
monohull,free,cwp,19,1139.00,1261.00,0.395537,0.0021660,dimensionless,0.003,0.00005,163
monohull,free,cwp,20,1163.00,1212.00,0.407014,0.0025534,dimensionless,0.003,0.00005,163
monohull,free,cwp,21,1189.00,1163.00,0.419447,0.0029407,dimensionless,0.003,0.00005,163
monohull,free,cwp,22,1221.00,1099.00,0.434750,0.0034466,dimensionless,0.003,0.00005,163
monohull,free,cwp,23,1223.00,1068.00,0.435707,0.0036917,dimensionless,0.003,0.00005,163
monohull,free,cwp,24,1232.00,1117.00,0.440011,0.0033043,dimensionless,0.003,0.00005,163
monohull,free,cwp,25,1248.00,1041.00,0.447662,0.0039051,dimensionless,0.003,0.00005,163
monohull,free,cwp,26,1259.00,1023.00,0.452922,0.0040474,dimensionless,0.003,0.00005,163
monohull,free,cwp,27,1282.00,1039.00,0.463921,0.0039209,dimensionless,0.003,0.00005,163
monohull,free,cwp,28,1284.00,965.00,0.464878,0.0045059,dimensionless,0.003,0.00005,163
monohull,free,cwp,29,1303.00,999.00,0.473964,0.0042372,dimensionless,0.003,0.00005,163
monohull,free,cwp,30,1352.00,968.00,0.497396,0.0044822,dimensionless,0.003,0.00005,163
monohull,free,cwp,31,1396.00,1020.00,0.518438,0.0040711,dimensionless,0.003,0.00005,163
monohull,free,cwp,32,1419.00,951.00,0.529437,0.0046166,dimensionless,0.003,0.00005,163
monohull,free,cwp,33,1464.00,1009.00,0.550956,0.0041581,dimensionless,0.003,0.00005,163
monohull,free,cwp,34,1472.00,1052.00,0.554782,0.0038182,dimensionless,0.003,0.00005,163
monohull,free,cwp,35,1512.00,1036.00,0.573911,0.0039447,dimensionless,0.003,0.00005,163
monohull,free,cwp,36,1584.00,1020.00,0.608342,0.0040711,dimensionless,0.003,0.00005,163
monohull,free,cwp,37,1628.00,1057.00,0.629384,0.0037787,dimensionless,0.003,0.00005,163
monohull,free,cwp,38,1679.00,1076.00,0.653773,0.0036285,dimensionless,0.003,0.00005,163
monohull,free,cwp,39,1744.00,1098.00,0.684857,0.0034545,dimensionless,0.003,0.00005,163
monohull,free,cwp,40,1824.00,1149.00,0.723114,0.0030514,dimensionless,0.003,0.00005,163
monohull,free,cwp,41,1858.00,1116.00,0.739373,0.0033123,dimensionless,0.003,0.00005,163
monohull,free,cwp,42,1868.00,1168.00,0.744155,0.0029012,dimensionless,0.003,0.00005,163
monohull,free,cwp,43,1955.00,1158.00,0.785760,0.0029802,dimensionless,0.003,0.00005,163
monohull,free,cwp,44,1974.00,1247.00,0.794846,0.0022767,dimensionless,0.003,0.00005,163
monohull,free,cwp,45,2024.00,1173.00,0.818757,0.0028617,dimensionless,0.003,0.00005,163
monohull,free,cwp,46,2048.00,1180.00,0.830234,0.0028063,dimensionless,0.003,0.00005,163
monohull,free,cwp,47,2092.00,1265.00,0.851275,0.0021344,dimensionless,0.003,0.00005,163
monohull,free,cwp,48,2142.00,1254.00,0.875186,0.0022213,dimensionless,0.003,0.00005,163
monohull,free,cwp,49,2209.00,1304.00,0.907226,0.0018261,dimensionless,0.003,0.00005,163
monohull,free,cwp,50,2235.00,1225.00,0.919660,0.0024506,dimensionless,0.003,0.00005,163
monohull,free,cwp,51,2312.00,1331.00,0.956482,0.0016126,dimensionless,0.003,0.00005,163
monohull,free,cwp,52,2313.00,1371.00,0.956961,0.0012964,dimensionless,0.003,0.00005,163
monohull,free,trim,1,586.97,2925.46,0.130242,0.0085804,degree,0.003,0.03000,162
monohull,free,trim,2,641.40,2929.10,0.156382,-0.0172441,degree,0.003,0.03000,162
monohull,free,trim,3,700.10,2930.14,0.184572,-0.0246063,degree,0.003,0.03000,162
monohull,free,trim,4,757.19,2923.32,0.211993,0.0237205,degree,0.003,0.03000,162
monohull,free,trim,5,815.55,2927.76,0.240020,-0.0077814,degree,0.003,0.03000,162
monohull,free,trim,6,873.75,2931.99,0.267970,-0.0377020,degree,0.003,0.03000,162
monohull,free,trim,7,931.30,2930.08,0.295610,-0.0241815,degree,0.003,0.03000,162
