# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 264 and 265; PDF pages 274 and 275; Figures 173, 174, and 175
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_4,free,ct,1,577.36,1104.65,0.130172,0.0058701,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,2,638.33,1107.13,0.159206,0.0058504,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,3,679.61,1140.22,0.178862,0.0055891,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,4,698.20,1131.75,0.187716,0.0056560,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,5,744.11,1137.90,0.209574,0.0056074,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,6,752.87,1159.51,0.213747,0.0054367,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,7,756.33,1178.70,0.215395,0.0052851,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,8,765.15,1151.06,0.219597,0.0055035,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,9,777.21,1169.34,0.225339,0.0053591,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,10,790.36,1124.36,0.231602,0.0057143,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,11,801.60,1104.07,0.236950,0.0058746,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,12,807.62,1175.69,0.239821,0.0053089,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,13,813.99,1119.34,0.242851,0.0057540,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,14,815.41,1099.62,0.243528,0.0059098,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,15,825.49,1125.20,0.248327,0.0057077,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,16,836.25,1146.62,0.253452,0.0055385,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,17,837.82,1129.25,0.254202,0.0056758,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,18,850.87,1141.90,0.260412,0.0055758,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,19,862.71,1126.51,0.266052,0.0056974,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,20,869.73,1143.63,0.269396,0.0055622,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,21,883.26,1069.02,0.275838,0.0061515,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,22,886.00,1086.33,0.277143,0.0060147,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,23,906.91,1041.27,0.287098,0.0063707,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,24,927.15,1002.97,0.296739,0.0066732,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,25,929.14,1020.58,0.297684,0.0065341,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,26,940.17,1001.54,0.302939,0.0066845,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,27,952.08,1021.83,0.308612,0.0065242,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,28,981.57,1060.94,0.322650,0.0062153,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,29,986.52,1086.90,0.325007,0.0060103,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,30,1005.37,1092.92,0.333985,0.0059627,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,31,1005.64,553.09,0.334113,0.0102268,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,32,1026.00,1088.70,0.343810,0.0059960,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,33,1042.88,1091.34,0.351847,0.0059752,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,34,1043.48,1071.74,0.352134,0.0061300,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,35,1068.95,1019.51,0.364261,0.0065426,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,36,1077.24,549.31,0.368207,0.0102566,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,37,1089.61,952.79,0.374099,0.0070696,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,38,1103.72,958.19,0.380821,0.0070269,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,39,1115.39,879.11,0.386376,0.0076516,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,40,1124.97,553.03,0.390936,0.0102273,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,41,1140.15,765.33,0.398165,0.0085503,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,42,1160.97,736.11,0.408080,0.0087811,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,43,1161.57,698.78,0.408365,0.0090760,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,44,1199.81,612.27,0.426576,0.0097593,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,45,1219.06,616.47,0.435744,0.0097261,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,46,1235.04,555.76,0.443353,0.0102057,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,47,1257.11,578.40,0.453863,0.0100269,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,48,1266.15,535.59,0.458167,0.0103650,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,49,1277.72,567.99,0.463678,0.0101091,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,50,1302.28,544.31,0.475372,0.0102962,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,51,1321.81,585.35,0.484671,0.0099719,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,52,1335.60,582.95,0.491237,0.0099909,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,53,1350.96,564.78,0.498551,0.0101344,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,54,1391.59,626.49,0.517901,0.0096470,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,55,1392.78,601.77,0.518467,0.0098422,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,56,1442.22,649.39,0.542010,0.0094662,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,57,1461.21,683.68,0.551051,0.0091953,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,58,1468.80,698.23,0.554665,0.0090803,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,59,1510.32,713.22,0.574439,0.0089619,dimensionless,0.003,0.00005,173
s_l_0_4,free,ct,60,1533.12,756.45,0.585293,0.0086205,dimensionless,0.003,0.00005,173
