# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 260 and 261; PDF pages 270 and 271; Figures 165, 166, and 167
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_2,free,ct,1,593.88,1231.12,0.126370,0.0059374,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,2,721.00,1232.36,0.187453,0.0059276,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,3,761.65,1265.15,0.206988,0.0056686,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,4,773.73,1271.62,0.212792,0.0056175,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,5,808.13,1273.22,0.229321,0.0056049,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,6,809.60,1259.46,0.230027,0.0057136,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,7,829.11,1246.68,0.239400,0.0058146,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,8,836.14,1190.76,0.242781,0.0062562,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,9,839.75,1174.22,0.244512,0.0063869,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,10,846.48,1226.00,0.247750,0.0059779,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,11,855.00,1186.54,0.251842,0.0062895,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,12,860.25,1166.60,0.254365,0.0064471,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,13,868.84,1184.16,0.258494,0.0063084,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,14,875.81,1232.39,0.261840,0.0059274,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,15,888.62,1238.10,0.267997,0.0058823,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,16,888.83,1255.54,0.268096,0.0057446,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,17,902.59,1257.26,0.274708,0.0057310,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,18,924.18,1215.65,0.285082,0.0060597,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,19,946.97,1188.19,0.296034,0.0062766,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,20,953.31,1160.00,0.299080,0.0064992,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,21,971.71,1053.78,0.307921,0.0073382,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,22,1001.58,1007.30,0.322273,0.0077053,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,23,1016.50,1213.20,0.329445,0.0060790,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,24,1017.50,1004.00,0.329925,0.0077314,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,25,1041.50,1073.71,0.341458,0.0071808,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,26,1060.45,1309.32,0.350565,0.0053197,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,27,1094.37,1160.26,0.366861,0.0064971,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,28,1098.05,684.92,0.368631,0.0102518,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,29,1126.28,1173.61,0.382194,0.0063917,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,30,1136.45,1122.53,0.387082,0.0067952,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,31,1145.40,1094.96,0.391383,0.0070130,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,32,1145.45,689.22,0.391408,0.0102179,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,33,1148.30,1054.28,0.392777,0.0073342,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,34,1162.64,1064.59,0.399667,0.0072528,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,35,1299.59,460.65,0.465474,0.0120233,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,36,1314.91,417.93,0.472833,0.0123607,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,37,1321.62,393.18,0.476058,0.0125562,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,38,1345.63,373.31,0.487594,0.0127132,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,39,1355.96,407.55,0.492560,0.0124427,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,40,1370.13,370.34,0.499369,0.0127367,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,41,1372.38,406.15,0.500451,0.0124538,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,42,1412.23,391.51,0.519600,0.0125694,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,43,1412.28,443.06,0.519622,0.0121622,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,44,1428.09,459.98,0.527221,0.0120286,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,45,1460.49,462.89,0.542790,0.0120056,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,46,1487.68,548.44,0.555851,0.0113298,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,47,1499.47,567.73,0.561517,0.0111775,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,48,1532.04,574.24,0.577168,0.0111261,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,49,1571.00,625.85,0.595889,0.0107184,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,50,1586.84,649.51,0.603502,0.0105315,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,51,1641.51,721.51,0.629769,0.0099628,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,52,1702.09,807.67,0.658879,0.0092822,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,53,1759.63,871.41,0.686528,0.0087788,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,54,1828.94,922.52,0.719831,0.0083750,dimensionless,0.003,0.00005,165
s_l_0_2,free,ct,55,1897.00,953.62,0.752536,0.0081294,dimensionless,0.003,0.00005,165
s_l_0_2,free,cwp,1,705.00,1500.00,0.187035,0.0001102,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,2,826.00,1438.00,0.244899,0.0005984,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,3,848.00,1418.00,0.255420,0.0007559,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,4,887.00,1463.00,0.274070,0.0004016,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,5,1008.00,1316.00,0.331934,0.0015591,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,6,1082.00,1361.00,0.367322,0.0012047,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,7,1100.00,1365.00,0.375930,0.0011732,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,8,1133.00,1343.00,0.391711,0.0013465,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,9,1150.00,1283.00,0.399841,0.0018189,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,10,1172.00,1187.00,0.410361,0.0025748,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,11,1445.00,1121.00,0.540914,0.0030945,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,12,1690.00,1243.00,0.658077,0.0021339,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,13,1819.00,1295.00,0.719766,0.0017244,dimensionless,0.003,0.00005,167
s_l_0_2,free,cwp,14,1887.00,1296.00,0.752285,0.0017165,dimensionless,0.003,0.00005,167
s_l_0_2,free,trim,1,578.15,2984.76,0.126541,0.0676631,degree,0.003,0.03000,166
s_l_0_2,free,trim,2,578.90,2966.55,0.126902,0.1962594,degree,0.003,0.03000,166
s_l_0_2,free,trim,3,696.63,2952.70,0.183564,0.2940980,degree,0.003,0.03000,166
s_l_0_2,free,trim,4,697.40,2981.69,0.183935,0.0893401,degree,0.003,0.03000,166
s_l_0_2,free,trim,5,755.60,2946.96,0.211947,0.3346625,degree,0.003,0.03000,166
s_l_0_2,free,trim,6,756.00,2976.04,0.212139,0.1292214,degree,0.003,0.03000,166
s_l_0_2,free,trim,7,813.34,2949.99,0.239737,0.3132856,degree,0.003,0.03000,166
s_l_0_2,free,trim,8,813.62,2972.21,0.239870,0.1562783,degree,0.003,0.03000,166
s_l_0_2,free,trim,9,871.97,2989.37,0.267954,0.0350954,degree,0.003,0.03000,166
s_l_0_2,free,trim,10,872.18,2971.72,0.268055,0.1597284,degree,0.003,0.03000,166
s_l_0_2,free,trim,11,928.41,2942.52,0.295115,0.3660368,degree,0.003,0.03000,166
s_l_0_2,free,trim,12,929.71,2965.95,0.295745,0.2005451,degree,0.003,0.03000,166
s_l_0_2,free,trim,13,987.03,2947.89,0.323330,0.3280763,degree,0.003,0.03000,166
