# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 245; PDF page 255; Figures 137 and 138
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_2,fixed,cwp,17,1032.00,3133.00,0.341569,0.0013712,0.003,0.00005,138
s_l_0_2,fixed,cwp,18,1053.00,3156.00,0.351654,0.0011899,0.003,0.00005,138
s_l_0_2,fixed,cwp,19,1079.00,3174.00,0.364141,0.0010481,0.003,0.00005,138
s_l_0_2,fixed,cwp,20,1101.00,3181.00,0.374707,0.0009929,0.003,0.00005,138
s_l_0_2,fixed,cwp,21,1122.00,3044.00,0.384792,0.0020725,0.003,0.00005,138
s_l_0_2,fixed,cwp,22,1125.00,3192.00,0.386233,0.0009062,0.003,0.00005,138
s_l_0_2,fixed,cwp,23,1139.00,2997.00,0.392956,0.0024429,0.003,0.00005,138
s_l_0_2,fixed,cwp,24,1147.00,2976.00,0.396798,0.0026084,0.003,0.00005,138
s_l_0_2,fixed,cwp,25,1170.00,3103.00,0.407844,0.0016076,0.003,0.00005,138
s_l_0_2,fixed,cwp,26,1211.00,2983.00,0.427535,0.0025532,0.003,0.00005,138
s_l_0_2,fixed,cwp,27,1259.00,2855.00,0.450587,0.0035619,0.003,0.00005,138
s_l_0_2,fixed,cwp,28,1309.00,2772.00,0.474600,0.0042159,0.003,0.00005,138
s_l_0_2,fixed,cwp,29,1357.00,2738.00,0.497652,0.0044838,0.003,0.00005,138
s_l_0_2,fixed,cwp,30,1401.00,2727.00,0.518783,0.0045705,0.003,0.00005,138
s_l_0_2,fixed,cwp,31,1451.00,2772.00,0.542796,0.0042159,0.003,0.00005,138
s_l_0_2,fixed,cwp,32,1496.00,2751.00,0.564408,0.0043814,0.003,0.00005,138
s_l_0_2,fixed,cwp,33,1543.00,2804.00,0.586980,0.0039638,0.003,0.00005,138
