# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 245; PDF page 255; Figures 137 and 138
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_2,fixed,ct,1,713.00,1249.00,0.185349,0.0055197,0.003,0.00005,137
s_l_0_2,fixed,ct,2,757.38,1240.62,0.206627,0.0055859,0.003,0.00005,137
s_l_0_2,fixed,ct,3,803.11,1253.64,0.228554,0.0054831,0.003,0.00005,137
s_l_0_2,fixed,ct,4,811.29,1281.00,0.232476,0.0052670,0.003,0.00005,137
s_l_0_2,fixed,ct,5,823.25,1243.03,0.238211,0.0055669,0.003,0.00005,137
s_l_0_2,fixed,ct,6,825.79,1213.55,0.239428,0.0057998,0.003,0.00005,137
s_l_0_2,fixed,ct,7,859.62,1255.50,0.255654,0.0054684,0.003,0.00005,137
s_l_0_2,fixed,ct,8,869.95,1169.47,0.260603,0.0061479,0.003,0.00005,137
s_l_0_2,fixed,ct,9,883.70,1233.30,0.267199,0.0056438,0.003,0.00005,137
s_l_0_2,fixed,ct,10,907.12,1243.65,0.278430,0.0055620,0.003,0.00005,137
s_l_0_2,fixed,ct,11,908.63,1262.71,0.279150,0.0054114,0.003,0.00005,137
s_l_0_2,fixed,ct,12,920.48,1241.85,0.284833,0.0055762,0.003,0.00005,137
s_l_0_2,fixed,ct,13,935.36,1221.07,0.291967,0.0057404,0.003,0.00005,137
s_l_0_2,fixed,ct,14,963.71,1259.14,0.305564,0.0054396,0.003,0.00005,137
s_l_0_2,fixed,ct,15,967.87,1096.36,0.307555,0.0067255,0.003,0.00005,137
s_l_0_2,fixed,ct,16,992.11,1033.64,0.319179,0.0072209,0.003,0.00005,137
s_l_0_2,fixed,ct,17,1004.05,1041.36,0.324903,0.0071599,0.003,0.00005,137
s_l_0_2,fixed,ct,18,1006.62,1057.90,0.326137,0.0070292,0.003,0.00005,137
s_l_0_2,fixed,ct,19,1016.97,1046.34,0.331098,0.0071205,0.003,0.00005,137
s_l_0_2,fixed,ct,20,1038.94,1088.98,0.341636,0.0067837,0.003,0.00005,137
s_l_0_2,fixed,ct,21,1063.95,1112.48,0.353626,0.0065981,0.003,0.00005,137
s_l_0_2,fixed,ct,22,1106.86,1211.74,0.374199,0.0058140,0.003,0.00005,137
s_l_0_2,fixed,ct,23,1133.00,1192.73,0.386734,0.0059642,0.003,0.00005,137
s_l_0_2,fixed,ct,24,1178.15,1033.33,0.408383,0.0072233,0.003,0.00005,137
s_l_0_2,fixed,ct,25,1219.68,967.50,0.428294,0.0077433,0.003,0.00005,137
s_l_0_2,fixed,ct,26,1266.56,834.15,0.450773,0.0087966,0.003,0.00005,137
s_l_0_2,fixed,ct,27,1316.37,748.15,0.474658,0.0094759,0.003,0.00005,137
s_l_0_2,fixed,ct,28,1363.48,696.56,0.497244,0.0098834,0.003,0.00005,137
s_l_0_2,fixed,ct,29,1366.47,733.83,0.498679,0.0095890,0.003,0.00005,137
s_l_0_2,fixed,ct,30,1408.57,689.05,0.518866,0.0099427,0.003,0.00005,137
s_l_0_2,fixed,ct,31,1415.10,724.80,0.521996,0.0096604,0.003,0.00005,137
s_l_0_2,fixed,ct,32,1458.22,740.72,0.542673,0.0095346,0.003,0.00005,137
s_l_0_2,fixed,ct,33,1504.43,760.57,0.564830,0.0093778,0.003,0.00005,137
s_l_0_2,fixed,ct,34,1555.08,799.08,0.589115,0.0090736,0.003,0.00005,137
s_l_0_2,fixed,cwp,1,646.00,3303.00,0.156190,0.0000315,0.003,0.00005,138
s_l_0_2,fixed,cwp,2,704.00,3294.00,0.184045,0.0001024,0.003,0.00005,138
s_l_0_2,fixed,cwp,3,748.00,3285.00,0.205176,0.0001734,0.003,0.00005,138
s_l_0_2,fixed,cwp,4,799.00,3285.00,0.229669,0.0001734,0.003,0.00005,138
s_l_0_2,fixed,cwp,5,815.00,3265.00,0.237353,0.0003310,0.003,0.00005,138
s_l_0_2,fixed,cwp,6,842.00,3235.00,0.250320,0.0005674,0.003,0.00005,138
s_l_0_2,fixed,cwp,7,863.00,3233.00,0.260406,0.0005831,0.003,0.00005,138
s_l_0_2,fixed,cwp,8,876.00,3249.00,0.266649,0.0004571,0.003,0.00005,138
s_l_0_2,fixed,cwp,9,899.00,3272.00,0.277695,0.0002758,0.003,0.00005,138
s_l_0_2,fixed,cwp,10,915.00,3247.00,0.285379,0.0004728,0.003,0.00005,138
s_l_0_2,fixed,cwp,11,929.00,3222.00,0.292102,0.0006698,0.003,0.00005,138
s_l_0_2,fixed,cwp,12,948.00,3192.00,0.301227,0.0009062,0.003,0.00005,138
s_l_0_2,fixed,cwp,13,961.00,3163.00,0.307471,0.0011348,0.003,0.00005,138
s_l_0_2,fixed,cwp,14,985.00,3126.00,0.318997,0.0014263,0.003,0.00005,138
s_l_0_2,fixed,cwp,15,1001.00,3089.00,0.326681,0.0017179,0.003,0.00005,138
s_l_0_2,fixed,cwp,16,1009.00,3118.00,0.330523,0.0014894,0.003,0.00005,138
