# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 247; PDF page 257; Figures 141 and 142
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_4,fixed,ct,38,1562.91,996.67,0.586120,0.0075767,0.003,0.00005,141
s_l_0_4,fixed,ct,39,1628.33,1022.20,0.617456,0.0073754,0.003,0.00005,141
s_l_0_4,fixed,ct,40,1648.11,1012.72,0.626927,0.0074501,0.003,0.00005,141
s_l_0_4,fixed,ct,41,1699.45,1052.42,0.651517,0.0071371,0.003,0.00005,141
s_l_0_4,fixed,ct,42,1743.03,1045.48,0.672394,0.0071918,0.003,0.00005,141
s_l_0_4,fixed,ct,43,1768.31,1077.31,0.684500,0.0069407,0.003,0.00005,141
s_l_0_4,fixed,ct,44,1836.78,1074.20,0.717300,0.0069653,0.003,0.00005,141
s_l_0_4,fixed,ct,45,1838.61,1102.68,0.718172,0.0067407,0.003,0.00005,141
s_l_0_4,fixed,ct,46,1928.53,1099.17,0.761246,0.0067683,0.003,0.00005,141
s_l_0_4,fixed,ct,47,1929.35,1121.19,0.761637,0.0065948,0.003,0.00005,141
s_l_0_4,fixed,ct,48,2023.40,1124.07,0.806685,0.0065720,0.003,0.00005,141
s_l_0_4,fixed,cwp,1,606.00,3313.00,0.132605,0.0000315,0.003,0.00005,142
s_l_0_4,fixed,cwp,2,667.00,3313.00,0.161854,0.0000315,0.003,0.00005,142
s_l_0_4,fixed,cwp,3,740.00,3297.00,0.196857,0.0001574,0.003,0.00005,142
s_l_0_4,fixed,cwp,4,775.00,3293.00,0.213639,0.0001888,0.003,0.00005,142
s_l_0_4,fixed,cwp,5,809.00,3258.00,0.229941,0.0004642,0.003,0.00005,142
s_l_0_4,fixed,cwp,6,834.00,3251.00,0.241929,0.0005193,0.003,0.00005,142
s_l_0_4,fixed,cwp,7,858.00,3274.00,0.253436,0.0003383,0.003,0.00005,142
s_l_0_4,fixed,cwp,8,880.00,3279.00,0.263985,0.0002990,0.003,0.00005,142
s_l_0_4,fixed,cwp,9,905.00,3257.00,0.275972,0.0004721,0.003,0.00005,142
s_l_0_4,fixed,cwp,10,927.00,3207.00,0.286521,0.0008655,0.003,0.00005,142
s_l_0_4,fixed,cwp,11,948.00,3177.00,0.296590,0.0011015,0.003,0.00005,142
s_l_0_4,fixed,cwp,12,973.00,3160.00,0.308578,0.0012352,0.003,0.00005,142
s_l_0_4,fixed,cwp,13,996.00,3185.00,0.319606,0.0010386,0.003,0.00005,142
s_l_0_4,fixed,cwp,14,1017.00,3202.00,0.329675,0.0009048,0.003,0.00005,142
s_l_0_4,fixed,cwp,15,1041.00,3213.00,0.341183,0.0008183,0.003,0.00005,142
s_l_0_4,fixed,cwp,16,1066.00,3216.00,0.353170,0.0007946,0.003,0.00005,142
s_l_0_4,fixed,cwp,17,1086.00,3184.00,0.362760,0.0010464,0.003,0.00005,142
s_l_0_4,fixed,cwp,18,1109.00,3130.00,0.373788,0.0014713,0.003,0.00005,142
s_l_0_4,fixed,cwp,19,1134.00,3097.00,0.385775,0.0017309,0.003,0.00005,142
s_l_0_4,fixed,cwp,20,1140.00,3049.00,0.388652,0.0021086,0.003,0.00005,142
s_l_0_4,fixed,cwp,21,1168.00,3022.00,0.402078,0.0023210,0.003,0.00005,142
s_l_0_4,fixed,cwp,22,1175.00,2964.00,0.405434,0.0027773,0.003,0.00005,142
s_l_0_4,fixed,cwp,23,1201.00,2948.00,0.417901,0.0029032,0.003,0.00005,142
s_l_0_4,fixed,cwp,24,1212.00,2912.00,0.423175,0.0031865,0.003,0.00005,142
s_l_0_4,fixed,cwp,25,1249.00,2881.00,0.440916,0.0034304,0.003,0.00005,142
s_l_0_4,fixed,cwp,26,1279.00,2847.00,0.455301,0.0036979,0.003,0.00005,142
s_l_0_4,fixed,cwp,27,1287.00,2867.00,0.459137,0.0035405,0.003,0.00005,142
s_l_0_4,fixed,cwp,28,1319.00,2826.00,0.474481,0.0038631,0.003,0.00005,142
s_l_0_4,fixed,cwp,29,1343.00,2794.00,0.485988,0.0041149,0.003,0.00005,142
s_l_0_4,fixed,cwp,30,1366.00,2774.00,0.497017,0.0042722,0.003,0.00005,142
s_l_0_4,fixed,cwp,31,1410.00,2816.00,0.518114,0.0039418,0.003,0.00005,142
s_l_0_4,fixed,cwp,32,1410.00,2848.00,0.518114,0.0036900,0.003,0.00005,142
s_l_0_4,fixed,cwp,33,1483.00,2882.00,0.553117,0.0034225,0.003,0.00005,142
s_l_0_4,fixed,cwp,34,1547.00,2923.00,0.583804,0.0030999,0.003,0.00005,142
s_l_0_4,fixed,cwp,35,1554.00,2893.00,0.587160,0.0033360,0.003,0.00005,142
s_l_0_4,fixed,cwp,36,1619.00,2894.00,0.618327,0.0033281,0.003,0.00005,142
s_l_0_4,fixed,cwp,37,1638.00,2947.00,0.627437,0.0029111,0.003,0.00005,142
s_l_0_4,fixed,cwp,38,1689.00,2940.00,0.651891,0.0029662,0.003,0.00005,142
s_l_0_4,fixed,cwp,39,1733.00,2933.00,0.672989,0.0030212,0.003,0.00005,142
s_l_0_4,fixed,cwp,40,1759.00,2958.00,0.685456,0.0028245,0.003,0.00005,142
s_l_0_4,fixed,cwp,41,1827.00,3005.00,0.718061,0.0024548,0.003,0.00005,142
s_l_0_4,fixed,cwp,42,1830.00,2968.00,0.719499,0.0027459,0.003,0.00005,142
s_l_0_4,fixed,cwp,43,1916.00,3049.00,0.760735,0.0021086,0.003,0.00005,142
s_l_0_4,fixed,cwp,44,1918.00,3071.00,0.761694,0.0019355,0.003,0.00005,142
s_l_0_4,fixed,cwp,45,2009.00,3042.00,0.805328,0.0021637,0.003,0.00005,142
s_l_0_4,fixed,cwp,46,2011.00,3105.00,0.806287,0.0016680,0.003,0.00005,142
