# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 247; PDF page 257; Figures 141 and 142
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_4,fixed,ct,1,724.80,1227.64,0.184683,0.0057552,0.003,0.00005,141
s_l_0_4,fixed,ct,2,749.19,1275.32,0.196366,0.0053792,0.003,0.00005,141
s_l_0_4,fixed,ct,3,775.62,1264.58,0.209027,0.0054639,0.003,0.00005,141
s_l_0_4,fixed,ct,4,782.25,1291.33,0.212201,0.0052529,0.003,0.00005,141
s_l_0_4,fixed,ct,5,794.38,1293.20,0.218011,0.0052382,0.003,0.00005,141
s_l_0_4,fixed,ct,6,818.57,1257.81,0.229598,0.0055173,0.003,0.00005,141
s_l_0_4,fixed,ct,7,831.06,1245.83,0.235582,0.0056117,0.003,0.00005,141
s_l_0_4,fixed,ct,8,843.94,1257.22,0.241751,0.0055219,0.003,0.00005,141
s_l_0_4,fixed,ct,9,867.16,1286.53,0.252870,0.0052908,0.003,0.00005,141
s_l_0_4,fixed,ct,10,889.06,1280.69,0.263361,0.0053368,0.003,0.00005,141
s_l_0_4,fixed,ct,11,915.34,1239.46,0.275948,0.0056620,0.003,0.00005,141
s_l_0_4,fixed,ct,12,936.32,1178.67,0.285998,0.0061414,0.003,0.00005,141
s_l_0_4,fixed,ct,13,958.88,1165.00,0.296803,0.0062492,0.003,0.00005,141
s_l_0_4,fixed,ct,14,977.82,1187.76,0.305876,0.0060697,0.003,0.00005,141
s_l_0_4,fixed,ct,15,1004.57,1217.62,0.318688,0.0058342,0.003,0.00005,141
s_l_0_4,fixed,ct,16,1027.02,1246.36,0.329439,0.0056075,0.003,0.00005,141
s_l_0_4,fixed,ct,17,1037.54,1265.25,0.334480,0.0054586,0.003,0.00005,141
s_l_0_4,fixed,ct,18,1050.60,1255.59,0.340736,0.0055348,0.003,0.00005,141
s_l_0_4,fixed,ct,19,1072.69,1237.32,0.351316,0.0056789,0.003,0.00005,141
s_l_0_4,fixed,ct,20,1095.12,1215.75,0.362061,0.0058490,0.003,0.00005,141
s_l_0_4,fixed,ct,21,1117.65,1156.78,0.372850,0.0063141,0.003,0.00005,141
s_l_0_4,fixed,ct,22,1140.88,1082.08,0.383977,0.0069032,0.003,0.00005,141
s_l_0_4,fixed,ct,23,1144.16,1106.23,0.385550,0.0067127,0.003,0.00005,141
s_l_0_4,fixed,ct,24,1154.85,1070.29,0.390668,0.0069961,0.003,0.00005,141
s_l_0_4,fixed,ct,25,1188.93,993.14,0.406991,0.0076046,0.003,0.00005,141
s_l_0_4,fixed,ct,26,1211.55,931.97,0.417824,0.0080870,0.003,0.00005,141
s_l_0_4,fixed,ct,27,1221.76,951.02,0.422714,0.0079367,0.003,0.00005,141
s_l_0_4,fixed,ct,28,1258.35,910.62,0.440244,0.0082553,0.003,0.00005,141
s_l_0_4,fixed,ct,29,1290.96,883.64,0.455862,0.0084681,0.003,0.00005,141
s_l_0_4,fixed,ct,30,1293.42,902.38,0.457041,0.0083203,0.003,0.00005,141
s_l_0_4,fixed,ct,31,1327.50,893.00,0.473363,0.0083943,0.003,0.00005,141
s_l_0_4,fixed,ct,32,1351.73,878.56,0.484967,0.0085082,0.003,0.00005,141
s_l_0_4,fixed,ct,33,1376.41,901.86,0.496790,0.0083244,0.003,0.00005,141
s_l_0_4,fixed,ct,34,1419.73,918.51,0.517537,0.0081931,0.003,0.00005,141
s_l_0_4,fixed,ct,35,1420.64,900.42,0.517976,0.0083358,0.003,0.00005,141
s_l_0_4,fixed,ct,36,1493.47,958.08,0.552859,0.0078811,0.003,0.00005,141
s_l_0_4,fixed,ct,37,1557.15,975.83,0.583362,0.0077411,0.003,0.00005,141
