attitude,configuration,observable,figure,mismatch,resolution,x_px,y_px
fixed,s_l_0_3,ct,139,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1100.810,1292.800
fixed,s_l_0_3,ct,139,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1111.565,1263.393
fixed,s_l_0_3,ct,139,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1183.548,1032.851
fixed,s_l_0_3,ct,139,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1250.757,869.644
fixed,s_l_0_3,ct,139,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1415.804,872.747
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,681.000,3334.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,717.000,3332.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,866.000,3302.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,895.000,3285.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,904.000,3242.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,910.000,3221.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,922.000,3239.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,923.000,3189.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,941.000,3148.000
fixed,s_l_0_3,cwp,140,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,950.000,3175.000
fixed,s_l_0_3,cwp,140,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1132.702,3177.445
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,782.250,1291.330
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,794.380,1293.200
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,843.940,1257.220
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,867.160,1286.530
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1037.540,1265.250
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1050.600,1255.590
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1221.760,951.020
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1290.960,883.640
fixed,s_l_0_4,ct,141,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1351.996,879.715
fixed,s_l_0_4,ct,141,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1420.640,900.420
