configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-free-SL0.2	165	270	260	CT	1759.172	869.624	0.686308	0.00879286	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	165	270	260	CT	1829.393	919.591	0.720050	0.00839818	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	165	270	260	CT	1896.785	953.246	0.752433	0.00813234	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1177.687	883.275	0.403672	0.00834796	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1193.576	804.135	0.411263	0.00897062	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1291.940	526.664	0.458252	0.01115371	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1309.666	516.230	0.466720	0.01123580	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1326.173	523.316	0.474605	0.01118004	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1329.451	486.539	0.476171	0.01146940	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1358.509	539.666	0.490052	0.01105141	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1376.400	564.096	0.498599	0.01085920	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1377.366	529.803	0.499060	0.01112901	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1415.168	611.345	0.517119	0.01048745	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1444.343	652.223	0.531056	0.01016583	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1490.466	708.552	0.553089	0.00972265	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1512.323	748.934	0.563530	0.00940493	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1561.268	797.249	0.586912	0.00902479	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
