# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 246; PDF page 256; Figures 139 and 140
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_3,fixed,cwp,20,1025.00,3190.00,0.335429,0.0011909,0.003,0.00005,140
s_l_0_3,fixed,cwp,21,1039.00,3240.00,0.342142,0.0007965,0.003,0.00005,140
s_l_0_3,fixed,cwp,22,1062.00,3245.00,0.353170,0.0007571,0.003,0.00005,140
s_l_0_3,fixed,cwp,23,1063.00,3273.00,0.353649,0.0005363,0.003,0.00005,140
s_l_0_3,fixed,cwp,24,1076.00,3166.00,0.359883,0.0013801,0.003,0.00005,140
s_l_0_3,fixed,cwp,25,1096.00,3245.00,0.369473,0.0007571,0.003,0.00005,140
s_l_0_3,fixed,cwp,26,1110.00,3211.00,0.376185,0.0010252,0.003,0.00005,140
s_l_0_3,fixed,cwp,27,1136.00,3178.00,0.388652,0.0012855,0.003,0.00005,140
s_l_0_3,fixed,cwp,28,1156.00,3126.00,0.398242,0.0016956,0.003,0.00005,140
s_l_0_3,fixed,cwp,29,1179.00,3082.00,0.409270,0.0020426,0.003,0.00005,140
s_l_0_3,fixed,cwp,30,1212.00,2990.00,0.425093,0.0027681,0.003,0.00005,140
s_l_0_3,fixed,cwp,31,1243.00,2948.00,0.439957,0.0030994,0.003,0.00005,140
s_l_0_3,fixed,cwp,32,1282.00,2904.00,0.458657,0.0034464,0.003,0.00005,140
s_l_0_3,fixed,cwp,33,1317.00,2845.00,0.475440,0.0039117,0.003,0.00005,140
s_l_0_3,fixed,cwp,34,1361.00,2816.00,0.496537,0.0041404,0.003,0.00005,140
s_l_0_3,fixed,cwp,35,1408.00,2865.00,0.519073,0.0037539,0.003,0.00005,140
s_l_0_3,fixed,cwp,36,1409.00,2801.00,0.519552,0.0042587,0.003,0.00005,140
s_l_0_3,fixed,cwp,37,1454.00,2834.00,0.541129,0.0039984,0.003,0.00005,140
s_l_0_3,fixed,cwp,38,1478.00,2832.00,0.552637,0.0040142,0.003,0.00005,140
s_l_0_3,fixed,cwp,39,1522.00,2901.00,0.573735,0.0034700,0.003,0.00005,140
s_l_0_3,fixed,cwp,40,1547.00,2920.00,0.585722,0.0033202,0.003,0.00005,140
s_l_0_3,fixed,cwp,41,1640.00,2893.00,0.630314,0.0035331,0.003,0.00005,140
s_l_0_3,fixed,cwp,42,1732.00,3030.00,0.674427,0.0024527,0.003,0.00005,140
s_l_0_3,fixed,cwp,43,1824.00,3033.00,0.718540,0.0024290,0.003,0.00005,140
