configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-SL0.2	166	270	260	sinkage_over_draught	755.280	2946.833	0.211792	0.0111852	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	823.835	2863.549	0.244787	0.0307970	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	846.310	2850.738	0.255604	0.0338137	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	859.163	2829.243	0.261790	0.0388753	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	877.249	2828.858	0.270494	0.0389658	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	925.694	2785.368	0.293810	0.0492070	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	967.551	2746.271	0.313955	0.0584135	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	997.408	2728.275	0.328325	0.0626511	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1024.529	2704.862	0.341377	0.0681644	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1047.203	2687.519	0.352290	0.0722483	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1051.366	2651.785	0.354294	0.0806629	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1077.156	2636.931	0.366706	0.0841607	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1092.325	2569.156	0.374007	0.1001203	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1099.248	2594.944	0.377339	0.0940478	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1113.324	2545.957	0.384113	0.1055831	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1137.868	2495.155	0.395926	0.1175459	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1165.117	2449.536	0.409040	0.1282882	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1165.739	2427.869	0.409340	0.1333902	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1223.719	2387.951	0.437245	0.1427902	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
