# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 248; PDF page 258; Figures 143 and 144
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_5,fixed,ct,1,592.51,1219.54,0.127519,0.0057087,0.003,0.00005,143
s_l_0_5,fixed,ct,2,688.63,1252.98,0.173507,0.0054450,0.003,0.00005,143
s_l_0_5,fixed,ct,3,711.54,1243.32,0.184471,0.0055211,0.003,0.00005,143
s_l_0_5,fixed,ct,4,721.67,1262.61,0.189314,0.0053690,0.003,0.00005,143
s_l_0_5,fixed,ct,5,743.67,1263.31,0.199843,0.0053635,0.003,0.00005,143
s_l_0_5,fixed,ct,6,760.20,1272.74,0.207749,0.0052891,0.003,0.00005,143
s_l_0_5,fixed,ct,7,793.15,1267.70,0.223516,0.0053288,0.003,0.00005,143
s_l_0_5,fixed,ct,8,825.47,1252.42,0.238979,0.0054494,0.003,0.00005,143
s_l_0_5,fixed,ct,9,852.74,1229.59,0.252027,0.0056294,0.003,0.00005,143
s_l_0_5,fixed,ct,10,866.94,1242.39,0.258823,0.0055284,0.003,0.00005,143
s_l_0_5,fixed,ct,11,897.87,1223.85,0.273622,0.0056746,0.003,0.00005,143
s_l_0_5,fixed,ct,12,921.77,1211.47,0.285055,0.0057723,0.003,0.00005,143
s_l_0_5,fixed,ct,13,943.45,1181.57,0.295432,0.0060081,0.003,0.00005,143
s_l_0_5,fixed,ct,14,972.84,1189.73,0.309492,0.0059438,0.003,0.00005,143
s_l_0_5,fixed,ct,15,1004.58,1204.85,0.324678,0.0058245,0.003,0.00005,143
s_l_0_5,fixed,ct,16,1031.16,1206.06,0.337398,0.0058150,0.003,0.00005,143
s_l_0_5,fixed,ct,17,1062.50,1191.22,0.352392,0.0059320,0.003,0.00005,143
s_l_0_5,fixed,ct,18,1089.26,1169.76,0.365198,0.0061012,0.003,0.00005,143
s_l_0_5,fixed,ct,19,1138.14,1085.54,0.388585,0.0067654,0.003,0.00005,143
s_l_0_5,fixed,ct,20,1160.95,1046.97,0.399497,0.0070696,0.003,0.00005,143
s_l_0_5,fixed,ct,21,1184.90,1013.62,0.410958,0.0073326,0.003,0.00005,143
s_l_0_5,fixed,ct,22,1229.27,958.94,0.432187,0.0077639,0.003,0.00005,143
s_l_0_5,fixed,ct,23,1293.07,933.72,0.462712,0.0079627,0.003,0.00005,143
s_l_0_5,fixed,ct,24,1365.29,930.95,0.497267,0.0079846,0.003,0.00005,143
s_l_0_5,fixed,ct,25,1432.17,936.37,0.529270,0.0079419,0.003,0.00005,143
s_l_0_5,fixed,ct,26,1483.93,941.86,0.554033,0.0078986,0.003,0.00005,143
s_l_0_5,fixed,ct,27,1529.84,963.60,0.575998,0.0077271,0.003,0.00005,143
s_l_0_5,fixed,ct,28,1552.41,979.01,0.586797,0.0076056,0.003,0.00005,143
s_l_0_5,fixed,ct,29,1644.40,1009.45,0.630815,0.0073656,0.003,0.00005,143
s_l_0_5,fixed,ct,30,1736.92,1043.45,0.675082,0.0070974,0.003,0.00005,143
s_l_0_5,fixed,ct,31,1829.95,1058.22,0.719592,0.0069809,0.003,0.00005,143
s_l_0_5,fixed,ct,32,1919.29,1116.68,0.762342,0.0065199,0.003,0.00005,143
s_l_0_5,fixed,ct,33,2109.08,1166.58,0.853150,0.0061263,0.003,0.00005,143
s_l_0_5,fixed,cwp,1,620.00,3302.00,0.144089,0.0000315,0.003,0.00005,144
s_l_0_5,fixed,cwp,2,658.00,3302.00,0.162300,0.0000315,0.003,0.00005,144
s_l_0_5,fixed,cwp,3,680.00,3294.00,0.172843,0.0000944,0.003,0.00005,144
s_l_0_5,fixed,cwp,4,709.00,3296.00,0.186741,0.0000787,0.003,0.00005,144
s_l_0_5,fixed,cwp,5,736.00,3282.00,0.199681,0.0001888,0.003,0.00005,144
s_l_0_5,fixed,cwp,6,753.00,3290.00,0.207827,0.0001259,0.003,0.00005,144
s_l_0_5,fixed,cwp,7,784.00,3268.00,0.222684,0.0002990,0.003,0.00005,144
s_l_0_5,fixed,cwp,8,816.00,3263.00,0.238019,0.0003383,0.003,0.00005,144
s_l_0_5,fixed,cwp,9,857.00,3273.00,0.257668,0.0002596,0.003,0.00005,144
s_l_0_5,fixed,cwp,10,891.00,3232.00,0.273962,0.0005822,0.003,0.00005,144
s_l_0_5,fixed,cwp,11,913.00,3206.00,0.284505,0.0007868,0.003,0.00005,144
s_l_0_5,fixed,cwp,12,933.00,3178.00,0.294089,0.0010071,0.003,0.00005,144
s_l_0_5,fixed,cwp,13,964.00,3172.00,0.308946,0.0010543,0.003,0.00005,144
s_l_0_5,fixed,cwp,14,996.00,3182.00,0.324281,0.0009756,0.003,0.00005,144
s_l_0_5,fixed,cwp,15,1022.00,3184.00,0.336741,0.0009599,0.003,0.00005,144
s_l_0_5,fixed,cwp,16,1052.00,3169.00,0.351118,0.0010779,0.003,0.00005,144
s_l_0_5,fixed,cwp,17,1080.00,3127.00,0.364537,0.0014083,0.003,0.00005,144
s_l_0_5,fixed,cwp,18,1103.00,3103.00,0.375559,0.0015972,0.003,0.00005,144
s_l_0_5,fixed,cwp,19,1129.00,3076.00,0.388019,0.0018096,0.003,0.00005,144
s_l_0_5,fixed,cwp,20,1152.00,3038.00,0.399042,0.0021086,0.003,0.00005,144
s_l_0_5,fixed,cwp,21,1176.00,3014.00,0.410543,0.0022974,0.003,0.00005,144
s_l_0_5,fixed,cwp,22,1219.00,2967.00,0.431150,0.0026672,0.003,0.00005,144
s_l_0_5,fixed,cwp,23,1279.00,2880.00,0.459904,0.0033517,0.003,0.00005,144
s_l_0_5,fixed,cwp,24,1283.00,2902.00,0.461821,0.0031786,0.003,0.00005,144
s_l_0_5,fixed,cwp,25,1357.00,2804.00,0.497284,0.0039496,0.003,0.00005,144
s_l_0_5,fixed,cwp,26,1399.00,2830.00,0.517412,0.0037451,0.003,0.00005,144
s_l_0_5,fixed,cwp,27,1423.00,2877.00,0.528914,0.0033753,0.003,0.00005,144
s_l_0_5,fixed,cwp,28,1475.00,2900.00,0.553834,0.0031943,0.003,0.00005,144
