configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CWP	uncertainty_Fn	uncertainty_CWP	quality
C2-free-SL0.3	171	273	263	CWP	1169.611	1159.186	0.409354	0.00295916	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1211.592	1050.325	0.429376	0.00381634	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1262.080	890.684	0.453456	0.00507335	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1287.573	824.056	0.465615	0.00559798	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1307.741	785.830	0.475234	0.00589898	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1355.310	798.707	0.497922	0.00579758	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1423.399	869.197	0.530397	0.00524254	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1490.729	955.067	0.562510	0.00456640	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1587.612	1041.776	0.608718	0.00388365	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1678.407	1092.545	0.652022	0.00348389	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1775.364	1179.189	0.698266	0.00280166	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1864.346	1192.875	0.740705	0.00269390	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	171	273	263	CWP	1943.189	1134.311	0.778310	0.00315503	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1239.000	1141.654	0.441494	0.00291282	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1247.239	958.423	0.445424	0.00435787	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1260.521	906.300	0.451759	0.00476893	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1270.299	1105.018	0.456423	0.00320175	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1276.405	856.115	0.459334	0.00516471	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1289.840	812.904	0.465743	0.00550549	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1306.409	1079.036	0.473645	0.00340665	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1308.175	773.887	0.474487	0.00581320	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1329.299	799.018	0.484562	0.00561500	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1350.049	783.920	0.494459	0.00573407	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1354.225	1121.423	0.496451	0.00307238	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1382.731	817.880	0.510046	0.00546625	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1398.368	948.264	0.517505	0.00443798	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1633.332	1020.144	0.629570	0.00387111	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1675.822	1042.668	0.649836	0.00369347	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1819.444	1148.067	0.718336	0.00286225	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	1911.947	1141.242	0.762455	0.00291607	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2002.425	1191.340	0.805608	0.00252098	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2003.971	1005.728	0.806345	0.00398480	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2075.898	1056.557	0.840651	0.00358394	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2082.168	1244.380	0.843641	0.00210268	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2145.471	1172.255	0.873834	0.00267149	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2192.197	1255.524	0.896120	0.00201480	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2215.403	1090.447	0.907187	0.00331666	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2261.429	1064.537	0.929139	0.00352101	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	175	275	265	CWP	2288.225	1319.423	0.941920	0.00151086	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1198.311	1087.396	0.421304	0.00334861	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1206.931	1104.928	0.425418	0.00321035	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1237.896	1035.052	0.440194	0.00376142	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1241.753	1006.667	0.442035	0.00398528	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1272.222	974.249	0.456575	0.00424094	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1278.575	926.367	0.459606	0.00461856	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1296.959	892.083	0.468379	0.00488894	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1314.105	866.667	0.476561	0.00508938	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1356.655	972.190	0.496866	0.00425718	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1374.154	937.022	0.505217	0.00453453	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1400.921	1054.832	0.517990	0.00360542	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1454.881	1105.208	0.543739	0.00320814	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1481.955	1002.674	0.556659	0.00401677	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1522.383	1158.971	0.575951	0.00278414	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1558.745	1018.379	0.593303	0.00389291	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1593.101	1150.659	0.609698	0.00284969	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1637.566	1082.538	0.630917	0.00338692	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1662.702	1168.681	0.642912	0.00270757	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1717.343	1044.903	0.668987	0.00368373	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1733.415	1189.291	0.676656	0.00254502	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1790.705	1177.381	0.703995	0.00263895	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1804.904	1225.206	0.710771	0.00226178	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1871.011	1200.214	0.742317	0.00245888	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1963.141	1217.770	0.786281	0.00232043	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	1983.611	1207.144	0.796050	0.00240422	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	2056.913	1244.013	0.831029	0.00211346	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	2129.400	1249.259	0.865620	0.00207209	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	179	277	267	CWP	2239.106	1304.626	0.917972	0.00163544	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
