configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-fixed-SL0.2	137	255	245	CT	1457.842	737.057	0.542257	0.00956872	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	1505.181	766.846	0.564943	0.00933323	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	1554.426	797.656	0.588543	0.00908968	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	723.698	1291.677	0.188804	0.00545523	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	771.140	1306.768	0.211491	0.00533622	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	826.311	1277.033	0.237874	0.00557072	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	847.192	1262.879	0.247860	0.00568235	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	871.912	1283.385	0.259682	0.00552062	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	888.913	1288.780	0.267812	0.00547807	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	920.676	1253.653	0.283001	0.00575510	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	943.201	1207.163	0.293773	0.00612174	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	977.287	1140.153	0.310073	0.00665021	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	999.458	1155.080	0.320676	0.00653249	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1007.981	1191.919	0.324752	0.00624196	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1028.029	1239.522	0.334339	0.00586655	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1047.530	1271.026	0.343665	0.00561809	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1077.040	1299.532	0.357777	0.00539328	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1111.565	1263.393	0.374287	0.00567829	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1137.433	1203.641	0.386657	0.00614952	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1159.871	1110.459	0.397388	0.00688439	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1183.548	1032.851	0.408710	0.00749644	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1213.005	936.414	0.422797	0.00825699	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1250.757	869.644	0.440851	0.00878356	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1287.930	838.990	0.458627	0.00902532	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1322.362	833.263	0.475094	0.00907048	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1368.149	846.082	0.496990	0.00896938	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1413.159	840.470	0.518514	0.00901365	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1415.804	872.747	0.519779	0.00875910	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1463.198	896.165	0.542443	0.00857441	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1482.364	891.071	0.551609	0.00861459	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1523.658	941.015	0.571356	0.00822071	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1530.863	968.332	0.574802	0.00800527	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1553.809	931.966	0.585775	0.00829207	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1565.734	990.448	0.591477	0.00783085	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
