# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 262 and 263; PDF pages 272 and 273; Figures 169, 170, and 171
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_3,free,ct,1,605.61,1221.55,0.130372,0.0056865,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,2,642.60,1225.49,0.148030,0.0056555,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,3,721.26,1212.48,0.185591,0.0057578,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,4,742.48,1235.73,0.195721,0.0055749,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,5,752.66,1217.86,0.200579,0.0057155,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,6,779.84,1240.01,0.213560,0.0055412,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,7,800.28,1248.87,0.223318,0.0054715,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,8,800.63,1230.57,0.223486,0.0056155,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,9,813.09,1267.34,0.229435,0.0053262,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,10,813.66,1248.61,0.229704,0.0054736,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,11,825.26,1210.33,0.235243,0.0057747,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,12,838.38,1207.55,0.241507,0.0057966,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,13,847.67,1190.64,0.245942,0.0059297,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,14,867.02,1203.28,0.255184,0.0058303,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,15,873.39,1227.21,0.258225,0.0056420,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,16,884.60,1220.53,0.263574,0.0056945,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,17,898.53,1228.35,0.270229,0.0056330,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,18,906.13,1274.19,0.273855,0.0052723,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,19,912.63,1205.41,0.276960,0.0058135,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,20,937.16,1166.16,0.288670,0.0061223,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,21,956.23,1105.42,0.297776,0.0066001,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,22,982.13,1062.87,0.310141,0.0069349,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,23,1003.67,1068.21,0.320427,0.0068929,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,24,1011.50,1085.50,0.324164,0.0067569,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,25,1011.64,1269.91,0.324232,0.0053060,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,26,1021.77,1100.54,0.329068,0.0066386,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,27,1047.53,1128.18,0.341365,0.0064211,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,28,1069.65,1196.14,0.351931,0.0058864,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,29,1069.99,1255.55,0.352089,0.0054190,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,30,1093.90,1204.75,0.363506,0.0058187,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,31,1102.84,642.44,0.367777,0.0102428,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,32,1126.20,1115.30,0.378928,0.0065224,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,33,1151.05,645.42,0.390791,0.0102193,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,34,1180.20,883.00,0.404709,0.0083501,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,35,1189.68,819.42,0.409239,0.0088503,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,36,1237.28,631.28,0.431966,0.0103306,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,37,1329.43,524.36,0.475961,0.0111718,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,38,1329.48,485.60,0.475984,0.0114768,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,39,1356.37,539.69,0.488822,0.0110512,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,40,1375.79,566.06,0.498095,0.0108437,dimensionless,0.003,0.00005,169
s_l_0_3,free,ct,41,1377.17,528.74,0.498753,0.0111374,dimensionless,0.003,0.00005,169
