configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CWP	uncertainty_Fn	uncertainty_CWP	quality
C2-fixed-SL0.2	138	255	245	CWP	1309.021	2772.910	0.474810	0.00420875	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	138	255	245	CWP	1356.494	2736.753	0.497621	0.00449367	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	138	255	245	CWP	1402.087	2725.714	0.519529	0.00458066	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	138	255	245	CWP	1450.630	2770.711	0.542855	0.00422607	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	138	255	245	CWP	1496.543	2749.535	0.564916	0.00439294	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	138	255	245	CWP	1546.676	2801.011	0.589006	0.00398731	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	749.637	3320.571	0.203396	0.00016111	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	767.290	3310.411	0.211860	0.00024124	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	793.599	3314.920	0.224475	0.00020568	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	805.256	3288.043	0.230064	0.00041764	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	850.022	3263.947	0.251529	0.00060768	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	932.558	3227.693	0.291104	0.00089359	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	965.184	3169.922	0.306748	0.00134920	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	994.594	3124.165	0.320850	0.00171005	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1003.307	3179.637	0.325027	0.00127258	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1022.631	3189.152	0.334293	0.00119754	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1038.579	3240.568	0.341940	0.00079205	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1060.486	3276.173	0.352444	0.00051126	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1061.505	3246.158	0.352933	0.00074796	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1077.156	3165.363	0.360437	0.00138515	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1091.923	3244.292	0.367518	0.00076268	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1110.007	3212.276	0.376189	0.00101517	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1122.586	3162.684	0.382220	0.00140628	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1132.702	3177.445	0.387071	0.00128987	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1156.112	3125.925	0.398296	0.00169617	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1178.656	3082.877	0.409105	0.00203567	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1211.541	2989.475	0.424873	0.00277228	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1241.932	2947.927	0.439446	0.00309994	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1279.871	2903.439	0.457637	0.00345079	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1317.913	2842.579	0.475877	0.00393076	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1360.102	2814.555	0.496106	0.00415177	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1408.014	2799.823	0.519080	0.00426796	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1408.064	2862.154	0.519104	0.00377639	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1455.000	2835.571	0.541609	0.00398604	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1478.082	2829.013	0.552677	0.00403775	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1522.487	2898.936	0.573968	0.00348631	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1547.230	2919.107	0.585832	0.00332724	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1639.327	2891.664	0.629992	0.00354366	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1732.228	3028.190	0.674537	0.00246695	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	140	256	246	CWP	1824.041	3030.911	0.718560	0.00244550	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	734.821	3295.312	0.193514	0.00017077	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	761.157	3292.143	0.206155	0.00019573	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	779.439	3292.032	0.214931	0.00019660	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	810.645	3256.053	0.229910	0.00047990	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	831.987	3250.376	0.240154	0.00052460	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	859.375	3275.159	0.253300	0.00032946	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	880.609	3276.743	0.263492	0.00031698	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	904.740	3255.549	0.275075	0.00048387	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	926.391	3207.820	0.285468	0.00085969	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	946.138	3178.080	0.294946	0.00109386	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	971.839	3162.265	0.307283	0.00121838	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	997.145	3186.232	0.319430	0.00102967	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1019.122	3206.245	0.329979	0.00087209	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1037.722	3209.520	0.338906	0.00084630	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1065.567	3214.576	0.352272	0.00080649	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1084.095	3185.340	0.361166	0.00103669	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1108.200	3126.832	0.372736	0.00149739	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1133.302	3096.911	0.384785	0.00173298	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1142.117	3054.690	0.389016	0.00206543	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1168.222	3019.637	0.401547	0.00234144	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1179.588	2962.312	0.407002	0.00279281	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1202.451	2946.702	0.417977	0.00291573	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1212.044	2910.060	0.422581	0.00320425	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1249.884	2882.616	0.440744	0.00342034	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1274.779	2845.574	0.452694	0.00371202	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1285.612	2863.588	0.457894	0.00357017	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1318.206	2820.865	0.473539	0.00390657	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1342.075	2790.108	0.484996	0.00414875	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1365.314	2772.081	0.496151	0.00429070	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1410.170	2815.068	0.517682	0.00395222	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1416.047	2839.715	0.520503	0.00375815	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1482.121	2879.681	0.552218	0.00344346	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1546.645	2921.196	0.583190	0.00311657	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1553.892	2892.027	0.586668	0.00334624	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1619.224	2891.934	0.618027	0.00334698	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1638.383	2946.602	0.627224	0.00291652	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1688.848	2938.316	0.651447	0.00298176	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1732.699	2931.531	0.672495	0.00303519	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1758.008	2956.752	0.684644	0.00283660	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1826.599	3004.171	0.717568	0.00246322	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1829.296	2966.142	0.718862	0.00276266	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1896.958	3034.563	0.751340	0.00222391	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	1919.266	3065.930	0.762047	0.00197693	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	2009.500	3039.500	0.805360	0.00218504	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	142	257	247	CWP	2011.163	3102.241	0.806158	0.00169101	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	678.779	3287.894	0.172220	0.00013469	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	705.798	3288.781	0.185161	0.00012771	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	734.733	3283.508	0.199021	0.00016923	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	753.027	3286.568	0.207783	0.00014514	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	783.572	3269.809	0.222413	0.00027709	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	816.138	3261.422	0.238012	0.00034314	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	857.535	3270.409	0.257840	0.00027237	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	890.800	3233.246	0.273773	0.00056499	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	913.154	3206.329	0.284481	0.00077694	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	933.344	3179.100	0.294151	0.00099134	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	964.678	3171.193	0.309159	0.00105360	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
