# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,ct,59,1858.26,1009.57,0.739572,0.0072891,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,60,1955.51,1050.28,0.785980,0.0069696,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,61,1973.99,1080.75,0.794797,0.0067303,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,62,1974.23,1054.36,0.794915,0.0069375,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,63,2048.27,1060.57,0.830245,0.0068888,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,64,2090.62,1081.94,0.850456,0.0067210,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,65,2120.50,1077.50,0.864714,0.0067559,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,66,2207.91,1118.63,0.906427,0.0064331,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,67,2232.28,1098.93,0.918055,0.0065876,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,68,2325.60,1132.70,0.962587,0.0063226,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,69,2328.53,1112.08,0.963986,0.0064845,dimensionless,0.003,0.00005,177
s_l_0_5,free,cwp,1,646.00,1498.00,0.157741,0.0001104,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,2,705.00,1496.00,0.185896,0.0001262,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,3,753.00,1483.00,0.208802,0.0002287,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,4,798.00,1455.00,0.230276,0.0004495,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,5,823.00,1448.00,0.242206,0.0005047,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,6,843.00,1453.00,0.251750,0.0004653,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,7,868.00,1442.00,0.263680,0.0005521,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,8,892.00,1411.00,0.275133,0.0007965,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,9,920.00,1379.00,0.288494,0.0010489,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,10,937.00,1369.00,0.296607,0.0011278,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,11,964.00,1374.00,0.309491,0.0010883,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,12,1011.00,1366.00,0.331919,0.0011514,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,13,1032.00,1335.00,0.341941,0.0013959,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,14,1053.00,1339.00,0.351962,0.0013644,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,15,1080.00,1299.00,0.364846,0.0016798,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,16,1102.00,1271.00,0.375345,0.0019006,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,17,1123.00,1193.00,0.385366,0.0025158,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,18,1146.00,1178.00,0.396341,0.0026341,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,19,1171.00,1149.00,0.408271,0.0028628,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,20,1207.00,1103.00,0.425451,0.0032256,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,21,1241.00,1034.00,0.441676,0.0037697,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,22,1275.00,977.00,0.457900,0.0042192,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,23,1314.00,869.00,0.476511,0.0050710,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,24,1356.00,972.00,0.496554,0.0042587,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,25,1374.00,939.00,0.505143,0.0045189,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,26,1401.00,1056.00,0.518028,0.0035962,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,27,1455.00,1107.00,0.543796,0.0031940,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,28,1482.00,1002.00,0.556681,0.0040221,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,29,1523.00,1161.00,0.576246,0.0027681,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,30,1559.00,1017.00,0.593425,0.0039038,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,31,1593.00,1153.00,0.609650,0.0028312,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,32,1638.00,1084.00,0.631124,0.0033754,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,33,1663.00,1168.00,0.643054,0.0027129,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,34,1718.00,1047.00,0.669300,0.0036672,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,35,1734.00,1190.00,0.676935,0.0025394,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,36,1791.00,1176.00,0.704136,0.0026498,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,37,1805.00,1224.00,0.710817,0.0022713,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,38,1871.00,1200.00,0.742312,0.0024606,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,39,1964.00,1218.00,0.786691,0.0023186,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,40,1983.00,1209.00,0.795758,0.0023896,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,41,2057.00,1246.00,0.831071,0.0020978,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,42,2130.00,1251.00,0.865907,0.0020584,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,43,2239.00,1305.00,0.917922,0.0016325,dimensionless,0.003,0.00005,179
s_l_0_5,free,cwp,44,2335.00,1355.00,0.963733,0.0012382,dimensionless,0.003,0.00005,179
s_l_0_5,free,trim,1,572.54,2861.63,0.130386,0.0757719,degree,0.003,0.03000,178
s_l_0_5,free,trim,2,636.51,2862.87,0.160979,0.0670214,degree,0.003,0.03000,178
s_l_0_5,free,trim,3,692.38,2864.58,0.187695,0.0548949,degree,0.003,0.03000,178
s_l_0_5,free,trim,4,750.19,2862.98,0.215340,0.0662107,degree,0.003,0.03000,178
s_l_0_5,free,trim,5,809.81,2860.91,0.243852,0.0808891,degree,0.003,0.03000,178
s_l_0_5,free,trim,6,866.78,2870.17,0.271095,0.0153423,degree,0.003,0.03000,178
s_l_0_5,free,trim,7,867.12,2854.04,0.271259,0.1295600,degree,0.003,0.03000,178
s_l_0_5,free,trim,8,924.57,2857.19,0.298730,0.1072169,degree,0.003,0.03000,178
