# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258,259; Figures 161,162,163
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
monohull,free,cwp,15,0.6540240,0.00362246,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1679.000,1076.000,B,1679.589,1077.517
monohull,free,cwp,16,0.6848219,0.00345030,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1744.000,1098.000,B,1743.256,1099.075
monohull,free,cwp,17,0.7231832,0.00305273,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1824.000,1149.000,B,1823.521,1148.659
monohull,free,cwp,18,0.7395979,0.00331364,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1858.000,1116.000,B,1858.098,1115.649
monohull,free,cwp,19,0.7439806,0.00289400,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1868.000,1168.000,B,1866.408,1169.819
monohull,free,cwp,20,0.7859867,0.00297869,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1955.000,1158.000,B,1954.900,1158.392
monohull,free,cwp,21,0.7950963,0.00227789,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1974.000,1247.000,B,1973.958,1246.693
monohull,free,cwp,22,0.8191941,0.00286483,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2024.000,1173.000,B,2024.633,1172.199
monohull,free,cwp,23,0.8307696,0.00280107,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2048.000,1180.000,B,2048.993,1181.330
monohull,free,cwp,24,0.8515874,0.00214125,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2092.000,1265.000,B,2091.965,1263.263
monohull,free,cwp,25,0.8756470,0.00221809,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2142.000,1254.000,B,2142.481,1254.824
monohull,free,cwp,26,0.9078465,0.00182959,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2209.000,1304.000,B,2210.003,1303.114
monohull,free,cwp,27,0.9200479,0.00245834,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,2235.000,1225.000,B,2234.978,1223.040
monohull,free,sinkage_over_draught,1,0.1390679,0.01367307,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,606.000,2873.000,B,604.783,2864.568
monohull,free,sinkage_over_draught,2,0.1592476,0.00914791,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,649.000,2889.000,B,645.865,2886.881
monohull,free,sinkage_over_draught,3,0.1932482,0.01634378,dimensionless,0.002272,0.00200000,162,258,268,2,independent pixel-center match; averaged,723.000,2858.000,B,713.534,2856.956
monohull,free,sinkage_over_draught,4,0.2312685,0.01877827,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,798.000,2849.000,B,796.952,2845.344
monohull,free,sinkage_over_draught,5,0.2433011,0.02388335,dimensionless,0.002181,0.00200000,162,258,268,2,independent pixel-center match; averaged,818.000,2829.000,B,827.088,2822.121
monohull,free,sinkage_over_draught,6,0.2466729,0.01502059,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,831.000,2865.000,B,828.137,2861.159
monohull,free,sinkage_over_draught,7,0.2529916,0.02411083,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,843.000,2828.000,B,842.465,2821.195
monohull,free,sinkage_over_draught,8,0.2588709,0.03095638,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,852.000,2798.000,B,857.962,2793.236
monohull,free,sinkage_over_draught,9,0.2717037,0.03014602,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,883.000,2798.000,B,880.432,2800.097
monohull,free,sinkage_over_draught,10,0.2880532,0.03244138,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,916.000,2791.000,B,915.555,2787.663
monohull,free,sinkage_over_draught,11,0.2984450,0.03619055,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,935.000,2770.000,B,939.854,2776.920
monohull,free,sinkage_over_draught,12,0.3125291,0.04669539,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,967.000,2727.000,B,966.538,2730.979
monohull,free,sinkage_over_draught,13,0.3259523,0.04276717,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,992.000,2749.000,B,997.468,2742.238
monohull,free,sinkage_over_draught,14,0.3265931,0.05201661,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,997.000,2706.000,B,995.138,2706.926
monohull,free,sinkage_over_draught,15,0.3394802,0.04138811,dimensionless,0.002840,0.00200000,162,258,268,2,independent pixel-center match; averaged,1017.000,2752.000,B,1028.834,2750.914
monohull,free,sinkage_over_draught,16,0.3523180,0.05118240,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,1052.000,2713.000,B,1047.325,2706.989
monohull,free,sinkage_over_draught,17,0.3621863,0.05896350,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,1071.000,2681.000,B,1069.443,2673.109
monohull,free,sinkage_over_draught,18,0.3760281,0.06546370,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,1098.000,2647.000,B,1100.117,2652.074
monohull,free,sinkage_over_draught,19,0.3851135,0.07031602,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,1119.000,2633.000,B,1116.973,2624.991
monohull,free,sinkage_over_draught,20,0.3968666,0.07507551,dimensionless,0.002000,0.00200000,162,258,268,2,independent pixel-center match; averaged,1144.000,2609.000,B,1140.944,2608.694
