# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 244; Figures 135,136
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
monohull,fixed,cwp,15,0.4094777,0.00186136,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1178.000,3081.000,B,1176.866,3080.588
monohull,fixed,cwp,16,0.4327348,0.00229066,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1227.000,3025.000,B,1224.874,3027.630
monohull,fixed,cwp,17,0.4551411,0.00287095,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1273.000,2953.000,B,1272.333,2952.354
monohull,fixed,cwp,18,0.4766184,0.00329561,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1317.000,2899.000,B,1317.917,2898.575
monohull,fixed,cwp,19,0.4995343,0.00359217,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1365.000,2862.000,B,1365.502,2860.308
monohull,fixed,cwp,20,0.4999527,0.00390193,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1366.000,2822.000,B,1366.247,2821.689
monohull,fixed,cwp,21,0.5189296,0.00315757,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1406.000,2917.000,B,1405.402,2915.609
monohull,fixed,cwp,22,0.5426641,0.00304193,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1455.000,2931.000,B,1455.401,2930.958
monohull,fixed,cwp,23,0.5550133,0.00297281,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1481.000,2941.000,B,1480.911,2938.502
monohull,fixed,cwp,24,0.5865610,0.00328060,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1547.000,2902.000,B,1546.500,2899.384
monohull,fixed,cwp,25,0.5918320,0.00301571,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1558.000,2934.000,B,1557.486,2934.613
monohull,fixed,cwp,26,0.6298754,0.00367138,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1637.000,2852.000,B,1637.169,2850.204
monohull,fixed,cwp,27,0.6326183,0.00326193,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1643.000,2904.000,B,1642.610,2902.123
monohull,fixed,cwp,28,0.7631132,0.00240851,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,1915.000,3012.000,B,1914.919,3010.721
monohull,fixed,cwp,29,0.8081353,0.00225074,dimensionless,0.002000,0.00008000,136,244,254,2,independent pixel-center match; averaged,2009.000,3030.000,B,2008.711,3032.762
monohull,fixed,cwp,30,0.8536050,0.00182635,dimensionless,0.002000,0.00008000,136,244,254,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,2103.685,3085.236
monohull,fixed,cwp,31,0.8994747,0.00184571,dimensionless,0.002000,0.00008000,136,244,254,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,2199.349,3082.780
