separation_over_length,c2_amplitude,c2_uncertainty,npl_envelope_model,npl_envelope_amplitude,npl_uncertainty,c2_minus_npl,c2_over_npl,resolved_c2_above,resolved_npl_above,material_c2_excess,comparable_c2_excess,registered_outcome
0.2,0.7747375,0.0200000,C3,0.8834121,0.0200000,-0.1086746,0.8769831,false,true,false,false,ANOMALOUS-VS-OWN-EXPERIMENT
0.3,0.5598292,0.0200000,C3,0.6967894,0.0200000,-0.1369602,0.8034410,false,true,false,false,ANOMALOUS-VS-OWN-EXPERIMENT
