# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266,267; Figures 177,178,179
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_5,free,ct,1,0.2766308,0.00592038,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,887.550,1185.270,B,887.907,1181.201
s_l_0_5,free,ct,2,0.2895424,0.00618512,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,912.830,1151.860,B,916.827,1147.209
s_l_0_5,free,ct,3,0.2978864,0.00628415,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,932.340,1136.000,B,932.343,1137.856
s_l_0_5,free,ct,4,0.3102577,0.00628668,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,958.660,1136.350,B,957.955,1136.862
s_l_0_5,free,ct,5,0.3245984,0.00617584,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,990.640,1151.940,B,986.174,1149.491
s_l_0_5,free,ct,6,0.3325964,0.00620038,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1004.960,1145.550,B,1005.428,1149.633
s_l_0_5,free,ct,7,0.3414944,0.00617598,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1027.280,1150.960,B,1020.460,1150.435
s_l_0_5,free,ct,8,0.3531080,0.00641369,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1047.220,1122.180,B,1049.271,1118.694
s_l_0_5,free,ct,9,0.3662151,0.00664263,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1076.310,1091.070,B,1075.202,1091.516
s_l_0_5,free,ct,10,0.3761706,0.00715587,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1096.340,1025.890,B,1096.963,1026.026
s_l_0_5,free,ct,11,0.3972258,0.00802601,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1140.860,914.860,B,1140.828,915.518
s_l_0_5,free,ct,12,0.4075861,0.00833242,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1163.430,876.240,B,1161.748,876.125
s_l_0_5,free,ct,13,0.4095938,0.00852901,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1167.090,851.540,B,1166.516,850.773
s_l_0_5,free,ct,14,0.4340587,0.00914397,dimensionless,0.002076,0.00008000,177,266,276,2,independent pixel-center match; averaged,1222.510,771.840,B,1213.794,773.905
s_l_0_5,free,ct,15,0.4416932,0.00945597,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1234.320,731.210,B,1234.032,735.101
s_l_0_5,free,ct,16,0.4583112,0.00965057,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1268.710,707.880,B,1269.401,708.886
s_l_0_5,free,ct,17,0.4634311,0.00945108,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1279.940,733.260,B,1279.663,734.296
s_l_0_5,free,ct,18,0.4751442,0.00963368,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1305.230,710.410,B,1303.542,710.656
s_l_0_5,free,ct,19,0.4954013,0.00955842,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1350.030,719.340,B,1343.777,720.885
s_l_0_5,free,ct,20,0.5044392,0.00977553,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1365.970,692.720,B,1365.776,692.230
s_l_0_5,free,ct,21,0.5175507,0.00941925,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1393.320,735.600,B,1393.465,740.059
s_l_0_5,free,ct,22,0.5420048,0.00911068,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1444.440,776.630,B,1444.998,777.590
s_l_0_5,free,ct,23,0.5541184,0.00887575,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1469.590,802.630,B,1470.698,811.403
s_l_0_5,free,ct,24,0.5743688,0.00870365,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1513.010,827.860,B,1512.285,829.990
s_l_0_5,free,ct,25,0.6072048,0.00829775,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1581.830,879.300,B,1581.303,881.894
s_l_0_5,free,ct,26,0.6294080,0.00796051,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1627.600,928.480,B,1628.737,918.573
s_l_0_5,free,ct,27,0.6407342,0.00797202,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1652.340,922.300,B,1651.542,921.824
s_l_0_5,free,ct,28,0.6677592,0.00767896,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1705.550,959.750,B,1711.777,958.988
s_l_0_5,free,ct,29,0.6838275,0.00759476,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1742.500,969.950,B,1742.278,970.225
s_l_0_5,free,ct,30,0.7014070,0.00725763,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1779.160,1012.970,B,1779.413,1013.037
s_l_0_5,free,ct,31,0.7077215,0.00747977,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1792.390,984.700,B,1792.690,984.750
s_l_0_5,free,ct,32,0.7387120,0.00726446,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1858.260,1009.570,B,1856.911,1014.699
s_l_0_5,free,ct,33,0.7388013,0.00697522,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1857.860,1048.900,B,1857.686,1049.010
s_l_0_5,free,ct,34,0.7869992,0.00696081,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1955.510,1050.280,B,1962.360,1051.299
s_l_0_5,free,ct,35,0.7941799,0.00672688,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,1973.990,1080.750,B,1974.023,1080.387
s_l_0_5,free,ct,36,0.8295863,0.00688780,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,2048.270,1060.570,B,2048.371,1059.596
s_l_0_5,free,ct,37,0.8519805,0.00669620,dimensionless,0.002241,0.00008000,177,266,276,2,independent pixel-center match; averaged,2090.620,1081.940,B,2100.027,1087.007
s_l_0_5,free,ct,38,0.8635573,0.00673982,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,2120.500,1077.500,B,2118.744,1080.342
s_l_0_5,free,ct,39,0.9055596,0.00641810,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,2207.910,1118.630,B,2207.650,1121.123
s_l_0_5,free,ct,40,0.9170964,0.00658093,dimensionless,0.002000,0.00008000,177,266,276,2,independent pixel-center match; averaged,2232.280,1098.930,B,2231.709,1099.365
s_l_0_5,free,cwp,1,0.4233775,0.00328708,dimensionless,0.002073,0.00008000,179,267,277,2,independent pixel-center match; averaged,1207.000,1103.000,B,1198.311,1087.396
s_l_0_5,free,cwp,2,0.4254178,0.00321035,dimensionless,0.002000,0.00008000,179,267,277,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1206.931,1104.928
s_l_0_5,free,cwp,3,0.4409349,0.00376557,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1241.000,1034.000,B,1237.896,1035.052
s_l_0_5,free,cwp,4,0.4420348,0.00398528,dimensionless,0.002000,0.00008000,179,267,277,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1241.753,1006.667
s_l_0_5,free,cwp,5,0.4572375,0.00423009,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1275.000,977.000,B,1272.222,974.249
s_l_0_5,free,cwp,6,0.4596063,0.00461856,dimensionless,0.002000,0.00008000,179,267,277,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1278.575,926.367
s_l_0_5,free,cwp,7,0.4724451,0.00497996,dimensionless,0.004066,0.00009102,179,267,277,2,independent pixel-center match; averaged,1314.000,869.000,B,1296.959,892.083
s_l_0_5,free,cwp,8,0.4765612,0.00508938,dimensionless,0.002000,0.00008000,179,267,277,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1314.105,866.667
s_l_0_5,free,cwp,9,0.4967098,0.00425793,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1356.000,972.000,B,1356.655,972.190
s_l_0_5,free,cwp,10,0.5051799,0.00452673,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1374.000,939.000,B,1374.154,937.022
s_l_0_5,free,cwp,11,0.5180087,0.00360082,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1401.000,1056.000,B,1400.921,1054.832
s_l_0_5,free,cwp,12,0.5437680,0.00320107,dimensionless,0.002000,0.00008000,179,267,277,2,independent pixel-center match; averaged,1455.000,1107.000,B,1454.881,1105.208
