# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 260,261; Figures 165,166,167
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_2,free,ct,1,0.4091632,0.00809185,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1182.403,958.372
s_l_0_2,free,ct,2,0.4170619,0.00880671,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1198.841,867.870
s_l_0_2,free,ct,3,0.4205903,0.00921864,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1206.184,815.720
s_l_0_2,free,ct,4,0.4383524,0.01051562,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1243.149,651.522
s_l_0_2,free,ct,5,0.4448547,0.01100622,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1256.681,589.413
s_l_0_2,free,ct,6,0.4495460,0.01171366,dimensionless,0.002000,0.00008000,165,260,270,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1266.444,499.851
s_l_0_2,free,ct,7,0.4647025,0.01202178,dimensionless,0.002000,0.00008000,165,260,270,2,independent pixel-center match; averaged,1299.590,460.650,B,1296.383,461.035
s_l_0_2,free,ct,8,0.4711227,0.01232745,dimensionless,0.002000,0.00008000,165,260,270,2,independent pixel-center match; averaged,1314.910,417.930,B,1307.785,426.359
s_l_0_2,free,ct,9,0.4750698,0.01256775,dimensionless,0.002000,0.00008000,165,260,270,2,independent pixel-center match; averaged,1321.620,393.180,B,1317.504,390.266
s_l_0_2,free,ct,10,0.4882529,0.01272757,dimensionless,0.002000,0.00008000,165,260,270,2,independent pixel-center match; averaged,1345.630,373.310,B,1348.365,369.669
