# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 247; Figures 141,142
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_4,fixed,ct,35,0.6845996,0.00694295,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1768.310,1077.310,B,1768.718,1076.758
s_l_0_4,fixed,ct,36,0.7173461,0.00695681,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1836.780,1074.200,B,1836.983,1076.352
s_l_0_4,fixed,ct,37,0.7185036,0.00674413,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1838.610,1102.680,B,1839.986,1101.808
s_l_0_4,fixed,ct,38,0.7611235,0.00676275,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1928.530,1099.170,B,1928.028,1100.597
s_l_0_4,fixed,ct,39,0.7617670,0.00658101,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1929.350,1121.190,B,1929.895,1124.666
s_l_0_4,fixed,ct,40,0.8066787,0.00656818,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,2023.400,1124.070,B,2023.376,1125.040
s_l_0_4,fixed,cwp,1,0.1947570,0.00016413,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,740.000,3297.000,B,734.821,3295.312
s_l_0_4,fixed,cwp,2,0.2094777,0.00019235,dimensionless,0.003322,0.00008000,142,247,257,2,independent pixel-center match; averaged,775.000,3293.000,B,761.157,3292.143
s_l_0_4,fixed,cwp,3,0.2149307,0.00019660,dimensionless,0.002000,0.00008000,142,247,257,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,779.439,3292.032
s_l_0_4,fixed,cwp,4,0.2295148,0.00047223,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,809.000,3258.000,B,810.645,3256.053
s_l_0_4,fixed,cwp,5,0.2406369,0.00052214,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,834.000,3251.000,B,831.987,3250.376
s_l_0_4,fixed,cwp,6,0.2529700,0.00033402,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,858.000,3274.000,B,859.375,3275.159
s_l_0_4,fixed,cwp,7,0.2633462,0.00030810,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,880.000,3279.000,B,880.609,3276.743
s_l_0_4,fixed,cwp,8,0.2751376,0.00047815,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,905.000,3257.000,B,904.740,3255.549
s_l_0_4,fixed,cwp,9,0.2856138,0.00086291,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,927.000,3207.000,B,926.391,3207.820
s_l_0_4,fixed,cwp,10,0.2953931,0.00109811,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,948.000,3177.000,B,946.138,3178.080
s_l_0_4,fixed,cwp,11,0.3075614,0.00122730,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,973.000,3160.000,B,971.839,3162.265
s_l_0_4,fixed,cwp,12,0.3191548,0.00103452,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,996.000,3185.000,B,997.145,3186.232
s_l_0_4,fixed,cwp,13,0.3294693,0.00088880,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1017.000,3202.000,B,1019.122,3206.245
s_l_0_4,fixed,cwp,14,0.3396933,0.00083260,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1041.000,3213.000,B,1037.722,3209.520
s_l_0_4,fixed,cwp,15,0.3523761,0.00080088,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1066.000,3216.000,B,1065.567,3214.576
s_l_0_4,fixed,cwp,16,0.3616228,0.00104197,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1086.000,3184.000,B,1084.095,3185.340
s_l_0_4,fixed,cwp,17,0.3729280,0.00148491,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1109.000,3130.000,B,1108.200,3126.832
s_l_0_4,fixed,cwp,18,0.3849525,0.00173263,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1134.000,3097.000,B,1133.302,3096.911
s_l_0_4,fixed,cwp,19,0.3885081,0.00208783,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1140.000,3049.000,B,1142.117,3054.690
s_l_0_4,fixed,cwp,20,0.4014933,0.00233214,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1168.000,3022.000,B,1168.222,3019.637
s_l_0_4,fixed,cwp,21,0.4059011,0.00278617,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1175.000,2964.000,B,1179.588,2962.312
s_l_0_4,fixed,cwp,22,0.4176282,0.00291062,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1201.000,2948.000,B,1202.451,2946.702
s_l_0_4,fixed,cwp,23,0.4225706,0.00319661,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1212.000,2912.000,B,1212.044,2910.060
s_l_0_4,fixed,cwp,24,0.4405322,0.00342671,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1249.000,2881.000,B,1249.884,2882.616
s_l_0_4,fixed,cwp,25,0.4537070,0.00370640,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1279.000,2847.000,B,1274.779,2845.574
s_l_0_4,fixed,cwp,26,0.4582269,0.00355674,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1287.000,2867.000,B,1285.612,2863.588
s_l_0_4,fixed,cwp,27,0.4737294,0.00388636,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1319.000,2826.000,B,1318.206,2820.865
s_l_0_4,fixed,cwp,28,0.4852180,0.00413343,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1343.000,2794.000,B,1342.075,2790.108
s_l_0_4,fixed,cwp,29,0.4963154,0.00428315,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1366.000,2774.000,B,1365.314,2772.081
s_l_0_4,fixed,cwp,30,0.5176408,0.00394855,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1410.000,2816.000,B,1410.170,2815.068
s_l_0_4,fixed,cwp,31,0.5190513,0.00372553,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1410.000,2848.000,B,1416.047,2839.715
s_l_0_4,fixed,cwp,32,0.5524290,0.00343433,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1483.000,2882.000,B,1482.121,2879.681
s_l_0_4,fixed,cwp,33,0.5832748,0.00310946,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1547.000,2923.000,B,1546.645,2921.196
s_l_0_4,fixed,cwp,34,0.5866941,0.00334241,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1554.000,2893.000,B,1553.892,2892.027
s_l_0_4,fixed,cwp,35,0.6179738,0.00333884,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1619.000,2894.000,B,1619.224,2891.934
s_l_0_4,fixed,cwp,36,0.6271319,0.00291495,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1638.000,2947.000,B,1638.383,2946.602
s_l_0_4,fixed,cwp,37,0.6514835,0.00297513,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1689.000,2940.000,B,1688.848,2938.316
s_l_0_4,fixed,cwp,38,0.6725678,0.00302941,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1733.000,2933.000,B,1732.699,2931.531
s_l_0_4,fixed,cwp,39,0.6848819,0.00283169,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1759.000,2958.000,B,1758.008,2956.752
s_l_0_4,fixed,cwp,40,0.7176638,0.00245996,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1827.000,3005.000,B,1826.599,3004.171
s_l_0_4,fixed,cwp,41,0.7190310,0.00275535,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1830.000,2968.000,B,1829.296,2966.142
s_l_0_4,fixed,cwp,42,0.7513398,0.00222391,dimensionless,0.002000,0.00008000,142,247,257,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1896.958,3034.563
s_l_0_4,fixed,cwp,43,0.7617438,0.00195697,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,1918.000,3071.000,B,1919.266,3065.930
s_l_0_4,fixed,cwp,44,0.8052400,0.00217520,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,2009.000,3042.000,B,2009.500,3039.500
s_l_0_4,fixed,cwp,45,0.8061191,0.00168015,dimensionless,0.002000,0.00008000,142,247,257,2,independent pixel-center match; averaged,2011.000,3105.000,B,2011.163,3102.241
