# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 264,265; Figures 173,174,175
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_4,free,ct,35,0.7406410,0.00726815,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1861.110,923.610,B,1859.006,931.695
s_l_0_4,free,ct,36,0.7622472,0.00725259,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1905.350,928.870,B,1905.560,930.375
s_l_0_4,free,ct,37,0.7921762,0.00677868,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1968.810,991.970,B,1967.868,987.267
s_l_0_4,free,ct,38,0.8049282,0.00690620,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1997.150,972.720,B,1993.115,974.231
s_l_0_4,free,ct,39,0.8440147,0.00679412,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2079.940,988.440,B,2074.575,986.888
s_l_0_4,free,ct,40,0.8744488,0.00669882,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2141.440,999.160,B,2140.966,1000.299
s_l_0_4,free,ct,41,0.9034566,0.00650878,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2205.440,1028.830,B,2198.863,1018.746
s_l_0_4,free,ct,42,0.9075275,0.00660257,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2210.530,1010.310,B,2210.880,1013.519
s_l_0_4,free,ct,43,0.9300296,0.00640979,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2255.890,1037.640,B,2260.079,1035.001
s_l_0_4,free,ct,44,0.9416071,0.00642081,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,2282.340,1034.790,B,2282.280,1035.062
s_l_0_4,free,cwp,1,0.4414944,0.00290357,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1239.000,1144.000,B,1239.000,1141.654
s_l_0_4,free,cwp,2,0.4454240,0.00435786,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1247.239,958.423
s_l_0_4,free,cwp,3,0.4518731,0.00476617,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1261.000,907.000,B,1260.521,906.300
s_l_0_4,free,cwp,4,0.4563511,0.00319394,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1270.000,1107.000,B,1270.299,1105.018
s_l_0_4,free,cwp,5,0.4593347,0.00516471,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1276.405,856.115
s_l_0_4,free,cwp,6,0.4657424,0.00550549,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1289.840,812.904
s_l_0_4,free,cwp,7,0.4735475,0.00340285,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1306.000,1080.000,B,1306.409,1079.036
s_l_0_4,free,cwp,8,0.4744873,0.00581319,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1308.175,773.887
s_l_0_4,free,cwp,9,0.4844910,0.00560718,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1329.000,801.000,B,1329.299,799.018
s_l_0_4,free,cwp,10,0.4944590,0.00573407,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1350.049,783.920
s_l_0_4,free,cwp,11,0.4963971,0.00307010,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1354.000,1122.000,B,1354.225,1121.423
s_l_0_4,free,cwp,12,0.5100466,0.00546625,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1382.731,817.880
s_l_0_4,free,cwp,13,0.5174169,0.00443114,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1398.000,950.000,B,1398.368,948.264
s_l_0_4,free,cwp,14,0.6294909,0.00387167,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1633.000,1020.000,B,1633.332,1020.144
s_l_0_4,free,cwp,15,0.6498356,0.00369347,dimensionless,0.002000,0.00008000,175,265,275,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1675.822,1042.668
s_l_0_4,free,cwp,16,0.7184684,0.00285463,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1820.000,1150.000,B,1819.444,1148.067
s_l_0_4,free,cwp,17,0.7624675,0.00292491,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,1912.000,1139.000,B,1911.947,1141.242
s_l_0_4,free,cwp,18,0.8055068,0.00251443,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2002.000,1193.000,B,2002.425,1191.340
s_l_0_4,free,cwp,19,0.8063524,0.00399555,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2004.000,1003.000,B,2003.971,1005.728
s_l_0_4,free,cwp,20,0.8406752,0.00357430,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2076.000,1059.000,B,2075.898,1056.557
s_l_0_4,free,cwp,21,0.8438397,0.00209629,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2083.000,1246.000,B,2082.168,1244.380
s_l_0_4,free,cwp,22,0.8739597,0.00267250,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2146.000,1172.000,B,2145.471,1172.255
s_l_0_4,free,cwp,23,0.8960724,0.00202475,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2192.000,1253.000,B,2192.197,1255.524
s_l_0_4,free,cwp,24,0.9070913,0.00331054,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2215.000,1092.000,B,2215.403,1090.447
s_l_0_4,free,cwp,25,0.9290371,0.00351523,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2261.000,1066.000,B,2261.429,1064.537
s_l_0_4,free,cwp,26,0.9418661,0.00150858,dimensionless,0.002000,0.00008000,175,265,275,2,independent pixel-center match; averaged,2288.000,1320.000,B,2288.225,1319.423
s_l_0_4,free,sinkage_over_draught,1,0.1607560,0.01310200,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,634.000,2741.000,B,634.095,2732.879
s_l_0_4,free,sinkage_over_draught,2,0.1871441,0.01519859,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,691.000,2729.000,B,687.456,2727.044
s_l_0_4,free,sinkage_over_draught,3,0.2204080,0.02121634,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,762.000,2705.000,B,755.573,2699.853
s_l_0_4,free,sinkage_over_draught,4,0.2322342,0.02322700,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,787.000,2696.000,B,780.033,2691.749
s_l_0_4,free,sinkage_over_draught,5,0.2430299,0.02600729,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,802.000,2683.000,B,810.183,2681.098
s_l_0_4,free,sinkage_over_draught,6,0.2599915,0.03080047,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,845.000,2658.000,B,838.120,2665.324
s_l_0_4,free,sinkage_over_draught,7,0.2705653,0.03307504,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,863.000,2655.000,B,864.342,2648.975
s_l_0_4,free,sinkage_over_draught,8,0.2876423,0.04122524,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,899.000,2611.000,B,899.762,2623.644
s_l_0_4,free,sinkage_over_draught,9,0.3093062,0.04670717,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,946.000,2593.000,B,943.365,2595.011
s_l_0_4,free,sinkage_over_draught,10,0.3255060,0.04977453,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,981.000,2582.000,B,976.116,2579.918
s_l_0_4,free,sinkage_over_draught,11,0.3386145,0.05934126,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1008.000,2538.000,B,1003.939,2542.537
s_l_0_4,free,sinkage_over_draught,12,0.3521270,0.06382904,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1037.000,2526.000,B,1031.451,2516.361
s_l_0_4,free,sinkage_over_draught,13,0.3811312,0.08081007,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1096.000,2447.000,B,1093.753,2450.909
s_l_0_4,free,sinkage_over_draught,14,0.4076271,0.10289910,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1154.000,2352.000,B,1146.565,2358.005
s_l_0_4,free,sinkage_over_draught,15,0.4434093,0.10952449,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1225.000,2322.000,B,1225.214,2331.645
s_l_0_4,free,sinkage_over_draught,16,0.4966344,0.09701371,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1339.000,2378.000,B,1333.813,2382.070
s_l_0_4,free,sinkage_over_draught,17,0.5552804,0.07350580,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1458.000,2480.000,B,1460.084,2480.044
s_l_0_4,free,sinkage_over_draught,18,0.6406102,0.05684240,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1638.000,2548.000,B,1636.952,2553.794
s_l_0_4,free,sinkage_over_draught,19,0.6666461,0.05242751,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1692.000,2569.000,B,1691.840,2570.350
s_l_0_4,free,sinkage_over_draught,20,0.7151251,0.05920878,dimensionless,0.002000,0.00200000,174,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1793.295,2540.832
s_l_0_4,free,sinkage_over_draught,21,0.7417921,0.04348617,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1850.000,2606.000,B,1848.117,2609.411
s_l_0_4,free,sinkage_over_draught,22,0.7636242,0.03811661,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,1895.000,2631.000,B,1894.424,2630.088
s_l_0_4,free,sinkage_over_draught,23,0.8074961,0.02566074,dimensionless,0.002000,0.00200000,174,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1986.453,2683.523
